cue_word,association_word,cue_valence,associated_valence
experiment,curiosity,0,0
experiment,discovery,0,0
experiment,failure,0,-1
professor,knowledge,0,0
professor,guidance,0,0
professor,pressure,0,-1
class,group,-1,0
class,discussion,-1,0
class,boredom,-1,-1
lecture,information,-1,0
lecture,engagement,-1,0
lecture,passive,-1,-1
ai,technology,0,0
ai,intelligent,0,0
ai,ethical,0,-1
problem - solve,critical,0,0
problem - solve,strategy,0,0
problem - solve,challenge,0,-1
science,research,0,0
science,curiosity,0,0
science,datum,0,0
equation,math,0,0
equation,solution,0,0
equation,complex,0,-1
philosophy,question,0,0
philosophy,think,0,0
philosophy,abstract,0,-1
teamwork,collaboration,0,0
teamwork,support,0,0
teamwork,conflict,0,-1
knowledge,understand,0,0
knowledge,growth,0,0
knowledge,wisdom,0,0
student,learn,0,0
student,stress,0,-1
student,academic,0,0
homework,practice,-1,0
homework,deadline,-1,0
homework,frustration,-1,-1
exam,pressure,-1,0
exam,result,-1,0
exam,anxiety,-1,-1
scientist,research,0,0
scientist,innovation,0,0
scientist,discovery,0,0
success,achievement,0,0
success,goal,0,0
success,confidence,0,0
proof,logic,0,0
proof,evidence,0,0
proof,validation,0,0
stem,science,0,0
stem,technology,0,0
stem,engineering,0,0
classroom,learn,0,0
classroom,interaction,0,0
classroom,noise,0,-1
chemistry,molecule,0,0
chemistry,reaction,0,0
chemistry,lab,0,0
grade,score,0,0
grade,performance,0,0
grade,effort,0,0
history,past,0,0
history,event,0,0
history,lesson,0,0
informatic,computer,0,0
informatic,algorithm,0,0
informatic,datum,0,0
career,future,0,0
career,opportunity,0,0
career,path,0,0
llm,language,0,0
llm,model,0,0
llm,intelligent,0,0
computation,efficiency,0,0
computation,speed,0,0
computation,accuracy,0,0
logic,reasoning,0,0
logic,structure,0,0
logic,clarity,0,0
future,potential,-1,0
future,uncertainty,-1,-1
future,optimism,-1,0
teacher,guidance,0,0
teacher,knowledge,0,0
teacher,patience,0,0
creativity,imagination,0,0
creativity,innovation,0,0
creativity,expression,0,0
music,emotion,0,0
music,rhythm,0,-1
music,harmony,0,0
datum,information,0,0
datum,analysis,0,0
datum,pattern,0,-1
variable,change,-1,0
variable,dependency,-1,-1
variable,input,-1,0
mathematic,problem - solve,0,0
mathematic,proof,0,0
mathematic,abstraction,0,-1
blackboard,write,0,0
blackboard,chalk,0,-1
blackboard,visual,0,0
biology,life,0,0
biology,cell,0,-1
biology,evolution,0,0
physics,law,0,0
physics,energy,0,0
physics,motion,0,-1
algorithm,step - by - step,0,-1
algorithm,process,0,0
algorithm,efficiency,0,0
society,community,0,0
society,interaction,0,-1
society,change,0,0
job,career,0,0
job,stability,0,0
job,income,0,-1
anxiety,stress,-1,-1
anxiety,fear,-1,-1
anxiety,worry,-1,-1
chatgpt,ai,0,0
chatgpt,technology,0,0
chatgpt,help,0,0
model,simulation,0,-1
model,representation,0,0
model,prediction,0,0
work,effort,0,-1
work,productivity,0,0
work,task,0,-1
theorem,proof,0,0
theorem,math,0,0
theorem,conclusion,0,-1
art,beauty,0,0
art,expression,0,0
art,creativity,0,0
failure,lesson,-1,0
failure,mistake,-1,-1
failure,recovery,-1,0
literature,story,0,0
literature,read,0,0
literature,idea,0,0
study,learn,0,0
study,focus,0,0
study,effort,0,0
number,quantity,0,-1
number,math,0,0
number,pattern,0,-1
