cue_word,association_word,cue_valence,associated_valence
anxiety,fear,0,-1
anxiety,stress,0,0
anxiety,uncertainty,0,-1
student,learn,0,0
student,grade,0,-1
student,curiosity,0,0
literature,story,0,0
literature,book,0,0
literature,narrative,0,-1
model,structure,0,0
model,representation,0,-1
model,design,0,0
failure,lesson,-1,0
failure,setback,-1,-1
failure,effort,-1,0
equation,solution,0,0
equation,mathematic,0,0
equation,logic,0,0
teamwork,collaboration,0,0
teamwork,support,0,0
teamwork,share goal,0,-1
future,possibility,0,0
future,growth,0,0
future,ambition,0,0
ai,technology,-1,0
ai,automation,-1,0
ai,intelligence,-1,-1
science,discovery,0,0
science,experimentation,0,0
science,truth,0,0
blackboard,write,0,0
blackboard,chalk,0,-1
blackboard,idea,0,0
classroom,teach,0,0
classroom,discipline,0,-1
classroom,learn,0,0
informatic,datum,0,0
informatic,algorithm,0,-1
informatic,computer,0,0
biology,life,0,0
biology,cell,0,-1
biology,evolution,0,-1
grade,score,-1,0
grade,performance,-1,0
grade,evaluation,-1,-1
stem,engineering,0,0
stem,innovation,0,0
stem,problem solve,0,0
career,job,0,-1
career,path,0,0
career,success,0,0
number,calculation,0,0
number,precision,0,-1
number,quantification,0,-1
exam,test,-1,-1
exam,pressure,-1,-1
exam,assessment,-1,0
mathematic,proof,0,0
mathematic,pattern,0,-1
mathematic,logic,0,0
study,effort,0,0
study,focus,0,0
study,discipline,0,-1
knowledge,understand,0,0
knowledge,wisdom,0,0
knowledge,fact,0,-1
philosophy,question,0,0
philosophy,reasoning,0,0
philosophy,ethic,0,-1
theorem,proof,0,0
theorem,logic,0,0
theorem,truth,0,0
teacher,guidance,0,0
teacher,mentorship,0,0
teacher,influence,0,-1
music,emotion,0,0
music,memory,0,0
music,joy,0,0
professor,knowledge,0,0
professor,authority,0,-1
professor,teach,0,0
datum,analysis,0,0
datum,accuracy,0,0
datum,pattern,0,0
history,past,-1,0
history,context,-1,0
history,learn,-1,0
computation,speed,0,0
computation,efficiency,0,0
computation,logic,0,0
art,beauty,0,0
art,expression,0,0
art,creativity,0,0
algorithm,step - by - step,0,0
algorithm,precision,0,0
algorithm,solution,0,0
society,structure,-1,0
society,change,-1,-1
society,influence,-1,0
lecture,information,0,0
lecture,delivery,0,-1
lecture,focus,0,0
logic,reasoning,0,0
logic,consistency,0,0
logic,truth,0,0
class,group,0,-1
class,learn,0,0
class,schedule,0,-1
creativity,innovation,0,0
creativity,imagination,0,0
creativity,originality,0,0
homework,effort,-1,0
homework,practice,-1,0
homework,completion,-1,-1
success,achievement,0,0
success,goal,0,0
success,reward,0,0
chatgpt,helpful,0,0
chatgpt,convenient,0,0
chatgpt,tool,0,0
physics,law,0,0
physics,universe,0,-1
physics,mathematic,0,0
problem - solve,strategy,0,0
problem - solve,think,0,0
problem - solve,solution,0,0
chemistry,reaction,-1,0
chemistry,element,-1,0
chemistry,molecule,-1,0
proof,validity,0,0
proof,certainty,0,0
proof,evidence,0,0
scientist,discovery,0,0
scientist,curiosity,0,0
scientist,research,0,0
llm,powerful,0,0
llm,intelligent,0,0
llm,tool,0,0
work,effort,-1,0
work,income,-1,-1
work,purpose,-1,0
experiment,testing,0,0
experiment,result,0,-1
experiment,process,0,0
job,stability,0,0
job,income,0,-1
job,responsibility,0,-1
variable,change,-1,0
variable,factor,-1,0
variable,influence,-1,0
