cue_word,association_word,cue_valence,associated_valence
chatgpt,ai,0,0
chatgpt,assistant,0,0
chatgpt,tool,0,0
knowledge,learn,0,0
knowledge,wisdom,0,0
knowledge,power,0,0
professor,teacher,0,0
professor,expert,0,0
professor,academic,0,0
anxiety,stress,-1,-1
anxiety,fear,-1,-1
anxiety,worry,-1,-1
physics,science,0,0
physics,universe,0,0
physics,law,0,0
logic,reason,0,0
logic,rational,0,0
logic,system,0,0
society,people,0,0
society,culture,0,0
society,community,0,0
blackboard,teach,-1,0
blackboard,chalk,-1,-1
blackboard,classroom,-1,0
work,effort,-1,0
work,task,-1,-1
work,labor,-1,-1
music,art,0,0
music,sound,0,0
music,harmony,0,0
class,lesson,0,0
class,student,0,0
class,education,0,0
teacher,educator,0,0
teacher,guide,0,0
teacher,mentor,0,0
number,math,0,0
number,quantify,0,0
number,count,0,0
variable,change,0,-1
variable,unknown,0,-1
variable,parameter,0,0
ai,intelligence,0,0
ai,machine,0,0
ai,future,0,0
creativity,innovation,0,0
creativity,imagination,0,0
creativity,original,0,0
stem,science,0,0
stem,technology,0,0
stem,engineering,0,0
failure,mistake,-1,-1
failure,loss,-1,-1
failure,error,-1,-1
informatic,datum,0,0
informatic,compute,0,0
informatic,information,0,0
experiment,test,0,-1
experiment,research,0,0
experiment,trial,0,-1
job,career,0,0
job,employment,0,0
job,work,0,-1
theorem,proof,0,0
theorem,truth,0,0
theorem,mathematic,0,0
chemistry,element,0,0
chemistry,reaction,0,0
chemistry,science,0,0
lecture,talk,0,0
lecture,presentation,0,0
lecture,teach,0,0
grade,score,-1,-1
grade,evaluation,-1,-1
grade,assessment,-1,-1
classroom,learn,0,0
classroom,structure,0,0
classroom,discipline,0,-1
equation,balance,0,0
equation,solution,0,0
equation,mathematic,0,0
scientist,discovery,0,0
scientist,knowledge,0,0
scientist,research,0,0
proof,evidence,0,0
proof,truth,0,0
proof,verification,0,0
problem - solve,solution,0,0
problem - solve,logic,0,0
problem - solve,creativity,0,0
art,creativity,0,0
art,expression,0,0
art,beauty,0,0
mathematic,logic,0,0
mathematic,precision,0,0
mathematic,abstraction,0,0
computation,calculation,0,0
computation,processing,0,0
computation,algorithm,0,0
model,representation,0,0
model,simulation,0,0
model,abstraction,0,0
teamwork,collaboration,0,0
teamwork,synergy,0,0
teamwork,cooperation,0,0
study,learn,0,0
study,focus,0,0
study,preparation,0,0
exam,assessment,-1,0
exam,stress,-1,-1
exam,evaluation,-1,0
history,past,0,-1
history,context,0,0
history,understand,0,0
student,learn,0,0
student,growth,0,0
student,potential,0,0
future,potential,0,0
future,progress,0,0
future,uncertainty,0,-1
biology,life,0,0
biology,system,0,0
biology,evolution,0,0
datum,information,0,0
datum,analysis,0,0
datum,insight,0,0
literature,story,0,0
literature,language,0,0
literature,culture,0,0
philosophy,wisdom,0,0
philosophy,question,0,0
philosophy,think,0,0
science,knowledge,0,0
science,discovery,0,0
science,method,0,0
success,achievement,0,0
success,fulfillment,0,0
success,recognition,0,0
career,profession,0,0
career,growth,0,0
career,purpose,0,0
llm,intelligence,0,0
llm,language,0,0
llm,technology,0,0
homework,practice,-1,0
homework,responsibility,-1,0
homework,burden,-1,-1
algorithm,procedure,0,0
algorithm,efficiency,0,0
algorithm,logic,0,0
