cue_word,association_word,cue_valence,associated_valence
logic,reason,0,0
logic,truth,0,0
logic,analysis,0,0
stem,math,0,0
stem,engineering,0,0
stem,research,0,0
science,experiment,0,0
science,datum,0,0
science,observation,0,0
knowledge,learn,0,0
knowledge,understand,0,0
knowledge,information,0,0
history,past,0,0
history,event,0,0
history,context,0,0
job,career,0,0
job,skill,0,0
job,opportunity,0,0
experiment,test,0,0
experiment,hypothesis,0,0
experiment,result,0,0
theorem,proof,0,0
theorem,math,0,0
theorem,conclusion,0,0
chatgpt,ai,0,0
chatgpt,language,0,0
chatgpt,technology,0,0
future,progress,0,0
future,innovation,0,0
future,potential,0,0
work,effort,0,0
work,task,0,0
work,productivity,0,0
physics,force,0,0
physics,energy,0,0
physics,motion,0,0
exam,test,0,0
exam,grade,0,0
exam,stress,0,-1
blackboard,chalk,0,0
blackboard,write,0,0
blackboard,classroom,0,0
teacher,instruction,0,0
teacher,guidance,0,0
teacher,student,0,0
ai,intelligence,0,0
ai,algorithm,0,0
ai,learn,0,0
lecture,presentation,0,0
lecture,class,0,0
lecture,content,0,0
model,simulation,0,0
model,representation,0,0
model,prediction,0,0
datum,information,0,0
datum,analysis,0,0
datum,statistic,0,0
philosophy,question,0,0
philosophy,ethic,0,0
philosophy,reasoning,0,0
teamwork,collaboration,0,0
teamwork,support,0,0
teamwork,achievement,0,0
classroom,student,0,0
classroom,teacher,0,0
classroom,learn,0,0
problem - solve,strategy,0,0
problem - solve,solution,0,0
problem - solve,critical,0,0
llm,language,0,0
llm,model,0,0
llm,text,0,0
grade,score,0,0
grade,result,0,0
grade,achievement,0,0
success,achievement,0,0
success,confidence,0,0
success,motivation,0,0
creativity,innovation,0,0
creativity,imagination,0,0
creativity,originality,0,0
chemistry,bond,0,0
chemistry,reaction,0,0
chemistry,interaction,0,0
informatic,datum,0,0
informatic,cod,0,0
informatic,system,0,0
mathematic,logic,0,0
mathematic,problem,0,0
mathematic,proof,0,0
professor,teach,0,0
professor,knowledge,0,0
professor,guidance,0,0
biology,life,0,0
biology,cell,0,0
biology,genetic,0,0
anxiety,stress,-1,-1
anxiety,fear,-1,-1
anxiety,worry,-1,-1
computation,processing,0,0
computation,speed,0,0
computation,efficiency,0,0
art,expression,0,0
art,aesthetic,0,0
art,creativity,0,0
equation,solution,0,0
equation,math,0,0
equation,balance,0,0
failure,lesson,-1,-1
failure,error,-1,-1
failure,recovery,-1,-1
scientist,research,0,0
scientist,discovery,0,0
scientist,experiment,0,0
student,learn,0,0
student,class,0,0
student,grade,0,-1
proof,logic,0,0
proof,validity,0,0
proof,theorem,0,0
career,growth,0,0
career,opportunity,0,0
career,path,0,0
homework,practice,-1,0
homework,assignment,-1,-1
homework,study,-1,0
study,focus,0,0
study,knowledge,0,0
study,effort,0,0
music,rhythm,0,0
music,melody,0,0
music,emotion,0,0
number,quantity,0,0
number,pattern,0,0
number,math,0,0
algorithm,step,0,0
algorithm,process,0,0
algorithm,logic,0,0
society,community,0,0
society,culture,0,0
society,interaction,0,0
literature,story,0,0
literature,text,0,0
literature,read,0,0
variable,unknown,-1,-1
variable,change,-1,-1
variable,input,-1,-1
class,group,0,0
class,lesson,0,0
class,exam,0,-1
