cue_word,association_word,cue_valence,associated_valence
datum,truth,0,1
datum,analysis,0,0
datum,clarity,0,1
job,income,-1,0
job,routine,-1,-1
job,purpose,-1,1
career,growth,0,1
career,stability,0,-1
career,ambition,0,1
problem - solve,logic,1,0
problem - solve,efficiency,1,0
problem - solve,clarity,1,1
teacher,guidance,0,1
teacher,knowledge,0,1
teacher,patience,0,0
philosophy,question,0,1
philosophy,search,0,-1
philosophy,understand,0,1
llm,power,0,1
llm,speed,0,0
llm,accuracy,0,-1
number,precision,0,1
number,order,0,0
number,pattern,0,0
theorem,proof,1,1
theorem,logic,1,0
theorem,certainty,1,1
science,discovery,1,1
science,curiosity,1,1
science,experiment,1,0
homework,effort,-1,0
homework,practice,-1,0
homework,learn,-1,1
classroom,structure,0,1
classroom,discipline,0,-1
classroom,energy,0,0
blackboard,write,0,1
blackboard,clarity,0,1
blackboard,visual,0,-1
grade,evaluation,-1,0
grade,performance,-1,0
grade,feedback,-1,1
failure,lesson,-1,0
failure,setback,-1,-1
failure,growth,-1,1
success,achievement,1,1
success,pride,1,0
success,reward,1,0
mathematic,logic,1,1
mathematic,structure,1,0
mathematic,precision,1,1
scientist,curiosity,1,1
scientist,discovery,1,1
scientist,research,1,0
teamwork,collaboration,0,1
teamwork,support,0,0
teamwork,share goal,0,-1
professor,wisdom,0,1
professor,authority,0,-1
professor,teach,0,1
lecture,knowledge,0,1
lecture,delivery,0,0
lecture,flow,0,-1
art,expression,0,1
art,beauty,0,0
art,creativity,0,1
society,structure,-1,0
society,norm,-1,-1
society,change,-1,0
exam,stress,-1,-1
exam,pressure,-1,-1
exam,assessment,-1,0
music,emotion,1,1
music,rhythm,1,0
music,harmony,1,0
physics,math,0,1
physics,equation,0,0
physics,experiment,0,-1
history,memory,-1,0
history,story,-1,1
history,class,-1,-1
computation,logic,0,1
computation,algorithm,0,0
computation,ai,0,-1
study,work,0,0
study,student,0,-1
study,knowledge,0,1
knowledge,proof,1,0
knowledge,logic,1,1
knowledge,variable,1,-1
logic,proof,1,0
logic,equation,1,0
logic,model,1,-1
algorithm,computation,0,0
algorithm,ai,0,-1
algorithm,variable,0,-1
experiment,physics,-1,0
experiment,chemistry,-1,-1
experiment,biology,-1,-1
future,stem,-1,1
future,ai,-1,0
future,work,-1,0
informatic,computation,0,0
informatic,datum,0,1
informatic,model,0,-1
creativity,literature,0,1
creativity,art,0,1
creativity,ai,0,-1
anxiety,study,-1,0
anxiety,exam,-1,-1
anxiety,class,-1,-1
chemistry,experiment,-1,-1
chemistry,equation,-1,0
chemistry,variable,-1,-1
stem,physics,1,0
stem,biology,1,-1
stem,math,1,1
literature,story,0,1
literature,creativity,0,0
literature,read,0,-1
equation,math,0,1
equation,physics,0,0
equation,logic,0,1
work,study,0,0
work,student,0,-1
work,future,0,-1
proof,logic,0,1
proof,math,0,1
proof,knowledge,0,1
chatgpt,ai,-1,0
chatgpt,student,-1,-1
chatgpt,study,-1,0
student,class,-1,-1
student,study,-1,0
student,anxiety,-1,-1
biology,experiment,-1,-1
biology,variable,-1,-1
biology,chemistry,-1,-1
variable,equation,-1,0
variable,model,-1,-1
variable,physics,-1,0
ai,chatgpt,0,-1
ai,computation,0,0
ai,algorithm,0,0
model,logic,-1,1
model,experiment,-1,-1
model,variable,-1,-1
class,history,-1,-1
class,student,-1,-1
class,anxiety,-1,-1
