cue_word,association_word,cue_valence,associated_valence
professor,teach,1,1
professor,knowledge,1,1
professor,academic,1,0
biology,life,1,1
biology,cell,1,0
biology,science,1,1
algorithm,logic,1,1
algorithm,code,1,1
algorithm,pattern,1,0
art,creative,1,1
art,color,1,1
art,expression,1,0
chemistry,element,1,0
chemistry,molecule,1,0
chemistry,reaction,1,-1
theorem,proof,1,1
theorem,logic,1,1
theorem,truth,1,1
anxiety,stress,-1,-1
anxiety,worry,-1,-1
anxiety,nervous,-1,-1
music,rhythm,1,0
music,sound,1,0
music,harmony,1,1
creativity,innovation,1,1
creativity,imagination,1,1
creativity,idea,1,1
career,job,0,-1
career,future,0,0
career,success,0,1
science,discovery,1,1
science,experiment,1,1
science,curiosity,1,1
work,labor,0,-1
work,productivity,0,0
work,effort,0,-1
success,achieve,1,1
success,win,1,0
success,prestige,1,0
blackboard,note,-1,-1
blackboard,lecture,-1,0
blackboard,dry,-1,-1
knowledge,learn,1,1
knowledge,wisdom,1,1
knowledge,fact,1,-1
mathematic,number,0,-1
mathematic,math,0,0
mathematic,logic,0,1
grade,score,-1,-1
grade,test,-1,-1
grade,academic,-1,0
lecture,talk,-1,-1
lecture,class,-1,-1
lecture,teach,-1,1
literature,book,0,-1
literature,story,0,0
literature,word,0,-1
society,people,1,0
society,community,1,0
society,culture,1,0
exam,test,-1,-1
exam,quiz,-1,-1
exam,stress,-1,-1
homework,study,-1,-1
homework,assign,-1,-1
homework,work,-1,-1
ai,machine,1,0
ai,intelligence,1,1
ai,code,1,0
student,learn,-1,0
student,school,-1,-1
student,young,-1,-1
job,work,-1,-1
job,career,-1,0
job,employ,-1,-1
computation,algorithm,1,0
computation,logic,1,1
computation,code,1,1
llm,ai,1,0
llm,generation,1,1
llm,context,1,0
variable,value,0,1
variable,change,0,-1
variable,state,0,1
philosophy,think,0,1
philosophy,ethic,0,-1
philosophy,mind,0,1
model,representation,1,1
model,prediction,1,0
model,simulation,1,0
datum,information,1,1
datum,number,1,1
datum,analysis,1,0
study,research,0,1
study,learn,0,1
study,examine,0,-1
future,tomorrow,0,1
future,possibility,0,0
future,change,0,-1
classroom,teach,0,1
classroom,learn,0,1
classroom,group,0,0
history,past,-1,-1
history,legacy,-1,0
history,time,-1,0
teamwork,collaboration,1,1
teamwork,group,1,0
teamwork,synergy,1,1
number,math,0,-1
number,quantify,0,1
number,datum,0,1
physics,science,0,1
physics,force,0,-1
physics,energy,0,1
proof,logic,1,1
proof,evidence,1,0
proof,validity,1,1
scientist,researcher,1,1
scientist,experiment,1,0
scientist,discovery,1,1
failure,mistake,-1,-1
failure,error,-1,-1
failure,loss,-1,-1
stem,science,0,1
stem,technology,0,1
stem,education,0,1
informatic,information,0,1
informatic,system,0,0
informatic,tech,0,-1
equation,math,1,-1
equation,logic,1,1
equation,solution,1,1
problem - solve,challenge,0,-1
problem - solve,think,0,1
problem - solve,solve,0,1
experiment,test,0,-1
experiment,datum,0,1
experiment,discovery,0,1
chatgpt,ai,0,0
chatgpt,chat,0,1
chatgpt,response,0,0
teacher,guide,1,1
teacher,instruction,1,0
teacher,mentor,1,1
logic,reasoning,1,1
logic,proof,1,1
logic,system,1,0
class,group,0,0
class,session,0,-1
class,study,0,1
