cue_word,association_word,cue_valence,associated_valence
classroom,learn,0,0
classroom,collaboration,0,0
classroom,curiosity,0,0
science,innovation,0,0
science,experimentation,0,0
science,knowledge,0,0
scientist,research,0,0
scientist,discovery,0,0
scientist,integrity,0,0
blackboard,chalk,0,0
blackboard,write,0,0
blackboard,lecture,0,0
mathematic,logic,0,0
mathematic,precision,0,0
mathematic,number,0,0
class,student,0,0
class,group,0,0
class,schedule,0,0
proof,logic,0,0
proof,demonstration,0,0
proof,certainty,0,0
teamwork,collaboration,0,0
teamwork,cooperation,0,0
teamwork,efficiency,0,0
career,progress,0,0
career,ambition,0,0
career,future,0,0
failure,challenge,-1,0
failure,resilience,-1,0
failure,growth,-1,0
problem - solve,logic,0,0
problem - solve,strategy,0,0
problem - solve,creativity,0,0
computation,algorithm,0,0
computation,precision,0,0
computation,efficiency,0,0
future,innovation,0,0
future,ambition,0,0
future,possibility,0,0
lecture,presentation,0,0
lecture,knowledge,0,0
lecture,communication,0,0
society,community,0,0
society,cooperation,0,0
society,progress,0,0
variable,change,-1,0
variable,flexibility,-1,0
variable,uncertainty,-1,-1
teacher,mentor,0,0
teacher,knowledge,0,0
teacher,guidance,0,0
job,work,0,0
job,ambition,0,0
job,security,0,0
informatic,datum,0,0
informatic,technology,0,0
informatic,analysis,0,0
ai,innovation,0,0
ai,technology,0,0
ai,future,0,0
number,logic,0,0
number,precision,0,0
number,mathematic,0,0
philosophy,think,0,0
philosophy,reasoning,0,0
philosophy,existence,0,0
experiment,research,0,0
experiment,discovery,0,0
experiment,testing,0,0
art,creativity,0,0
art,expression,0,0
art,beauty,0,0
biology,life,0,0
biology,nature,0,0
biology,research,0,0
anxiety,stress,-1,-1
anxiety,panic,-1,-1
anxiety,worry,-1,-1
theorem,proof,0,0
theorem,logic,0,0
theorem,mathematic,0,0
homework,assignment,-1,-1
homework,deadline,-1,-1
homework,study,-1,-1
exam,test,-1,-1
exam,pressure,-1,-1
exam,challenge,-1,0
chatgpt,assistant,0,0
chatgpt,ai,0,0
chatgpt,conversation,0,0
knowledge,learn,0,0
knowledge,information,0,0
knowledge,intelligence,0,0
datum,statistic,0,0
datum,analysis,0,0
datum,information,0,0
physics,experiment,-1,-1
physics,theory,-1,-1
physics,experimentation,-1,-1
creativity,imagination,0,0
creativity,innovation,0,0
creativity,art,0,0
llm,language,0,0
llm,model,0,0
llm,machine,0,0
music,melody,0,0
music,harmony,0,0
music,rhythm,0,0
study,learn,-1,0
study,research,-1,0
study,discipline,-1,-1
stem,science,-1,0
stem,technology,-1,0
stem,engineering,-1,0
professor,teacher,0,0
professor,expert,0,0
professor,mentor,0,0
work,job,-1,-1
work,duty,-1,-1
work,commitment,-1,-1
literature,novel,-1,-1
literature,poetry,-1,-1
literature,read,-1,-1
grade,score,-1,-1
grade,evaluation,-1,-1
grade,rank,-1,-1
equation,formula,-1,-1
equation,calculation,-1,-1
equation,mathematical,-1,-1
success,achievement,0,0
success,goal,0,0
success,victory,0,0
algorithm,code,0,0
algorithm,logic,0,0
algorithm,procedure,0,0
logic,reasoning,0,0
logic,deduction,0,0
logic,rationality,0,0
model,structure,0,0
model,representation,0,0
model,framework,0,0
history,past,-1,-1
history,event,-1,-1
history,record,-1,-1
student,learner,-1,0
student,scholar,-1,0
student,attendant,-1,-1
chemistry,experiment,-1,-1
chemistry,reaction,-1,-1
chemistry,molecule,-1,-1
