cue_word,association_word,cue_valence,associated_valence
computation,calculation,1,0
work,effort,0,0
work,duty,0,-1
lecture,teach,1,0
lecture,presentation,1,0
llm,language,1,0
llm,modeling,1,0
experiment,testing,1,0
mathematic,logic,1,0
mathematic,number,1,0
model,representation,1,0
model,framework,1,0
music,melody,1,0
algorithm,procedure,1,0
theorem,proof,1,0
theorem,result,1,0
datum,information,1,0
problem - solve,logic,1,0
problem - solve,analysis,1,0
ai,intelligence,1,0
career,job,1,0
career,growth,1,0
professor,teacher,1,0
professor,mentor,1,0
creativity,innovation,1,0
history,past,1,0
history,memory,1,0
society,community,1,0
society,norm,1,0
classroom,learn,1,0
classroom,discipline,1,0
proof,validation,1,0
proof,certainty,1,0
variable,change,1,0
variable,factor,1,0
science,research,1,0
science,experimentation,1,0
informatic,technology,1,0
informatic,datum,1,0
class,lesson,1,0
blackboard,chalk,1,0
blackboard,write,1,0
chatgpt,insightful,1,0
scientist,curious,0,0
scientist,innovative,0,0
homework,demand,-1,-1
homework,challenge,-1,-1
teamwork,collaborative,0,1
teamwork,supportive,0,0
literature,inspire,0,0
literature,creative,0,0
teacher,educator,1,0
teacher,guide,1,1
physics,complex,0,0
physics,fascinating,0,1
number,exact,0,0
number,logical,0,0
anxiety,stressful,-1,-1
anxiety,overwhelm,-1,-1
grade,performance,0,0
grade,evaluation,0,0
exam,pressure,-1,-1
exam,assessment,-1,0
success,achievement,1,0
success,rewarding,1,1
art,expressive,0,0
art,creative,0,0
stem,innovative,0,0
stem,practical,0,1
philosophy,thoughtful,0,0
philosophy,abstract,0,-1
failure,disappointing,-1,-1
failure,setback,-1,-1
student,learner,0,1
student,curious,0,0
logic,rational,0,0
logic,systematic,0,0
job,career,0,1
job,profession,0,0
chemistry,intricate,0,-1
chemistry,dynamic,0,0
biology,vital,0,1
biology,complex,0,0
knowledge,insightful,1,0
knowledge,powerful,1,0
equation,formulaic,-1,-1
equation,logical,-1,0
future,hopeful,0,1
future,uncertain,0,-1
study,discipline,0,0
study,learn,0,1
