cue_word,association_word,cue_valence,associated_valence
blackboard,chalk,0,-1
blackboard,lecture,0,0
blackboard,classroom,0,1
chemistry,reaction,1,0
chemistry,experiment,1,1
chemistry,formula,1,0
biology,life,1,1
biology,cell,1,-1
biology,evolution,1,0
work,effort,0,-1
work,job,0,0
work,productivity,0,1
knowledge,learn,1,1
knowledge,wisdom,1,1
knowledge,insight,1,0
grade,score,-1,-1
grade,evaluation,-1,-1
grade,rank,-1,-1
music,melody,1,1
music,rhythm,1,0
music,harmony,1,1
variable,change,-1,-1
variable,factor,-1,-1
variable,parameter,-1,-1
scientist,researcher,1,0
scientist,innovator,1,1
scientist,expert,1,1
student,learner,0,0
student,scholar,0,-1
student,apprentice,0,-1
llm,language,0,1
llm,model,0,0
llm,ai,0,0
mathematic,number,1,0
mathematic,logic,1,1
mathematic,proof,1,1
logic,reasoning,1,1
logic,deduction,1,0
logic,argument,1,-1
art,creativity,1,1
art,expression,1,0
art,imagination,1,1
society,community,-1,0
society,culture,-1,0
society,norm,-1,-1
computation,algorithm,0,1
computation,datum,0,-1
computation,processing,0,0
anxiety,stress,-1,-1
anxiety,worry,-1,-1
anxiety,fear,-1,-1
science,experiment,1,0
science,discovery,1,1
science,research,1,1
failure,mistake,-1,-1
failure,loss,-1,-1
failure,setback,-1,-1
ai,machine,0,-1
ai,learn,0,1
ai,technology,0,0
experiment,trial,0,-1
experiment,test,0,-1
experiment,research,0,0
number,mathematic,0,1
number,calculation,0,-1
number,count,0,-1
proof,evidence,1,0
proof,verification,1,0
proof,argument,1,-1
model,representation,0,-1
model,framework,0,0
model,theory,0,0
stem,science,1,1
stem,technology,1,0
stem,engineering,1,1
teacher,mentor,1,0
teacher,guide,1,0
teacher,inspire,1,1
class,group,-1,-1
class,session,-1,-1
class,learn,-1,0
algorithm,logic,0,1
algorithm,code,0,0
algorithm,pattern,0,-1
informatic,compute,0,0
informatic,datum,0,-1
informatic,analysis,0,0
problem - solve,challenge,1,0
problem - solve,logic,1,1
problem - solve,solution,1,1
physics,experiment,-1,0
physics,theory,-1,-1
physics,energy,-1,0
lecture,talk,-1,-1
lecture,presentation,-1,-1
lecture,learn,-1,0
success,achievement,1,1
success,goal,1,0
success,win,1,1
history,past,-1,-1
history,record,-1,-1
history,legacy,-1,0
job,work,0,-1
job,career,0,1
job,duty,0,-1
homework,assignment,-1,-1
homework,study,-1,-1
homework,practice,-1,-1
datum,information,0,0
datum,analysis,0,1
datum,statistic,0,0
philosophy,think,-1,0
philosophy,ethic,-1,0
philosophy,wisdom,-1,1
professor,teacher,1,1
professor,expert,1,0
professor,mentor,1,0
chatgpt,assistant,0,-1
chatgpt,ai,0,0
chatgpt,tool,0,-1
teamwork,collaboration,1,1
teamwork,cooperation,1,0
teamwork,unity,1,1
future,progress,1,1
future,innovation,1,1
future,hope,1,1
career,job,0,-1
career,growth,0,1
career,success,0,1
exam,test,-1,-1
exam,challenge,-1,-1
exam,pressure,-1,-1
classroom,learn,-1,0
classroom,environment,-1,-1
classroom,group,-1,-1
equation,formula,0,0
equation,math,0,1
equation,solution,0,0
theorem,proof,-1,0
theorem,logic,-1,1
theorem,theory,-1,-1
study,learn,0,1
study,research,0,0
study,focus,0,-1
creativity,innovation,1,1
creativity,imagination,1,1
creativity,expression,1,0
literature,read,-1,0
literature,write,-1,0
literature,culture,-1,-1
