cue_word,association_word,cue_valence,associated_valence
variable,change,-1,-1
variable,unknown,-1,-1
variable,flexible,-1,0
logic,reasoning,0,0
logic,mathematic,0,0
logic,consistent,0,0
computation,calculation,0,-1
computation,algorithm,0,0
computation,efficient,0,1
physics,energy,0,0
physics,law,0,-1
physics,experiment,0,0
knowledge,learn,1,1
knowledge,information,1,0
knowledge,wisdom,1,1
failure,mistake,-1,-1
failure,loss,-1,-1
failure,defeat,-1,-1
classroom,student,0,0
classroom,teacher,0,0
classroom,learn,0,1
proof,evidence,0,0
proof,theorem,0,0
proof,demonstration,0,0
chemistry,reaction,0,-1
chemistry,element,0,-1
chemistry,laboratory,0,-1
success,achievement,1,1
success,victory,1,1
success,prosperity,1,1
science,research,1,0
science,discovery,1,1
science,experiment,1,0
theorem,proof,0,0
theorem,mathematic,0,0
theorem,statement,0,-1
stem,science,1,1
stem,technology,1,1
stem,engineering,1,1
grade,school,-1,0
grade,performance,-1,0
grade,evaluation,-1,-1
work,job,0,0
work,effort,0,0
work,productivity,0,0
equation,mathematic,0,0
equation,solution,0,0
equation,variable,0,-1
algorithm,computation,0,0
algorithm,step,0,-1
algorithm,efficient,0,1
society,people,0,0
society,community,0,0
society,culture,0,0
homework,study,-1,0
homework,assignment,-1,-1
homework,school,-1,0
chatgpt,ai,0,0
chatgpt,assistant,0,0
chatgpt,conversation,0,0
blackboard,classroom,-1,0
blackboard,teach,-1,0
blackboard,write,-1,-1
student,learn,0,1
student,school,0,0
student,education,0,1
art,creativity,1,1
art,paint,1,1
art,expression,1,1
history,past,0,-1
history,event,0,-1
history,chronicle,0,-1
exam,test,-1,-1
exam,evaluation,-1,-1
exam,study,-1,0
ai,technology,0,0
ai,future,0,0
ai,learn,0,0
philosophy,think,0,0
philosophy,ethic,0,0
philosophy,knowledge,0,0
professor,teacher,0,0
professor,lecture,0,0
professor,expert,0,0
experiment,science,0,0
experiment,discovery,0,0
experiment,research,0,0
scientist,research,0,0
scientist,discovery,0,0
scientist,experiment,0,0
model,simulation,0,0
model,prediction,0,0
model,datum,0,0
career,job,0,0
career,growth,0,0
career,success,0,0
biology,life,0,0
biology,cell,0,0
biology,genetic,0,0
lecture,teach,0,0
lecture,learn,0,0
lecture,knowledge,0,0
literature,book,0,0
literature,write,0,0
literature,story,0,0
problem - solve,logic,0,0
problem - solve,creativity,0,0
problem - solve,think,0,0
number,math,0,0
number,datum,0,0
number,quantification,0,0
creativity,innovation,0,0
creativity,art,0,0
creativity,imagination,0,0
job,work,0,0
job,career,0,0
job,employment,0,0
study,learn,0,0
study,research,0,0
study,education,0,0
informatic,datum,0,0
informatic,compute,0,0
informatic,information,0,0
anxiety,stress,-1,-1
anxiety,worry,-1,-1
anxiety,fear,-1,-1
mathematic,number,0,0
mathematic,logic,0,0
mathematic,algebra,0,0
teacher,education,0,0
teacher,learn,0,0
teacher,knowledge,0,0
teamwork,collaboration,0,0
teamwork,cooperation,0,0
teamwork,group,0,0
datum,information,0,0
datum,analysis,0,0
datum,research,0,0
class,student,0,0
class,learn,0,0
class,education,0,0
llm,language,0,0
llm,model,0,0
llm,learn,0,0
music,sound,0,0
music,rhythm,0,0
music,harmony,0,0
future,time,0,0
future,progress,0,0
future,technology,0,0
