cue_word,association_word,cue_valence,associated_valence
job,work,1,0
job,purpose,1,1
philosophy,think,1,1
philosophy,mean,1,1
student,learn,0,1
student,education,0,1
art,creativity,1,1
art,expression,1,1
stem,science,1,0
stem,logic,1,1
class,group,0,-1
class,lesson,0,1
success,achieve,1,1
success,win,1,1
literature,word,1,0
literature,story,1,1
creativity,innovation,1,1
creativity,imagination,1,1
chemistry,element,1,0
chemistry,reaction,1,0
llm,ai,1,0
llm,text,1,-1
algorithm,code,0,-1
algorithm,logic,0,1
history,past,0,-1
history,time,0,0
classroom,teach,0,1
classroom,learn,0,1
exam,test,-1,-1
exam,score,-1,-1
society,people,0,-1
society,culture,0,1
number,math,0,-1
number,datum,0,0
experiment,test,0,-1
experiment,science,0,1
mathematic,number,0,-1
mathematic,logic,0,1
chatgpt,ai,0,0
chatgpt,chat,0,-1
informatic,datum,0,-1
informatic,tech,0,0
problem - solve,logic,1,1
problem - solve,solve,1,0
lecture,teach,0,1
lecture,talk,0,-1
homework,study,-1,-1
homework,assign,-1,-1
professor,teacher,1,0
professor,expert,1,1
music,rhythm,1,0
music,harmony,1,1
music,joy,1,1
equation,logic,0,1
equation,pattern,0,-1
equation,proof,0,1
model,simulation,0,0
model,datum,0,1
model,prediction,0,1
grade,score,-1,-1
grade,exam,-1,-1
grade,achievement,-1,0
failure,mistake,-1,-1
failure,error,-1,-1
failure,disaster,-1,-1
study,learn,0,1
study,research,0,0
study,curiosity,0,1
knowledge,wisdom,1,1
knowledge,understand,1,1
knowledge,fact,1,0
teamwork,collaboration,1,1
teamwork,synergy,1,1
teamwork,group,1,0
logic,reasoning,1,1
logic,deduction,1,0
logic,system,1,-1
teacher,mentor,1,1
teacher,guide,1,1
teacher,instruction,1,0
biology,life,0,1
biology,cell,0,-1
biology,evolution,0,0
science,discovery,1,1
science,experiment,1,0
science,truth,1,1
future,possibility,-1,0
future,hope,-1,1
future,tomorrow,-1,0
ai,machine,0,-1
ai,intelligence,0,1
ai,automation,0,-1
proof,verification,1,1
proof,evidence,1,0
proof,certainty,1,1
variable,change,-1,-1
variable,parameter,-1,-1
variable,value,-1,0
theorem,proof,1,1
theorem,truth,1,1
theorem,mathematic,1,0
computation,calculation,-1,-1
computation,code,-1,-1
computation,datum,-1,1
blackboard,whiteboard,0,-1
blackboard,note,0,0
blackboard,lecture,0,-1
anxiety,stress,-1,-1
anxiety,fear,-1,-1
anxiety,nervousness,-1,-1
work,labor,-1,-1
work,productivity,-1,0
work,effort,-1,-1
career,profession,0,1
career,ambition,0,-1
career,success,0,1
datum,information,0,1
datum,number,0,-1
datum,analysis,0,0
physics,force,-1,-1
physics,energy,-1,0
physics,particle,-1,-1
scientist,researcher,1,1
scientist,experimenter,1,0
scientist,discoverer,1,1
