cue_word,association_word,cue_valence,associated_valence
class,education,-1,0
class,structure,-1,-1
class,rule,-1,-1
blackboard,write,0,0
blackboard,knowledge,0,0
blackboard,science,0,0
literature,story,0,0
literature,emotion,0,0
literature,read,0,0
experiment,discovery,0,0
experiment,science,0,0
experiment,datum,0,-1
classroom,quiet,-1,-1
classroom,order,-1,0
classroom,learn,-1,0
algorithm,logic,0,0
algorithm,pattern,0,0
algorithm,math,0,0
art,expression,0,0
art,paint,0,0
art,beauty,0,0
science,fact,0,0
science,physics,0,0
science,discovery,0,0
job,work,-1,-1
job,income,-1,0
job,responsibility,-1,-1
teacher,guidance,0,0
teacher,knowledge,0,0
teacher,patience,0,0
theorem,proof,0,0
theorem,logic,0,0
theorem,math,0,0
informatic,computer,0,0
informatic,datum,0,0
informatic,code,0,-1
teamwork,collaboration,-1,0
teamwork,support,-1,0
teamwork,effort,-1,-1
physics,universe,0,0
physics,law,0,0
physics,motion,0,0
ai,technology,0,0
ai,learn,0,0
ai,automation,0,-1
work,effort,-1,0
work,schedule,-1,-1
work,purpose,-1,0
chemistry,molecule,0,0
chemistry,reaction,0,-1
chemistry,lab,0,-1
music,harmony,0,0
music,classical,0,0
music,emotion,0,0
career,growth,0,0
career,choice,0,-1
career,path,0,0
chatgpt,tool,0,0
chatgpt,help,0,0
chatgpt,technology,0,0
student,learn,0,0
student,curiosity,0,0
student,study,0,0
creativity,imagination,0,0
creativity,art,0,0
creativity,innovation,0,0
professor,expertise,0,0
professor,teach,0,0
professor,research,0,0
stem,science,0,0
stem,math,0,0
stem,engineering,0,0
model,representation,0,0
model,prediction,0,0
model,structure,0,-1
homework,study,-1,0
homework,number,-1,-1
homework,anxiety,-1,-1
knowledge,logic,0,0
knowledge,science,0,0
knowledge,proof,0,0
anxiety,failure,-1,-1
anxiety,exam,-1,-1
anxiety,future,-1,-1
datum,computation,0,0
datum,mathematic,0,0
datum,science,0,0
failure,anxiety,-1,-1
failure,grade,-1,-1
failure,proof,-1,-1
philosophy,logic,0,0
philosophy,society,0,-1
philosophy,future,0,0
number,equation,0,0
number,mathematic,0,0
number,datum,0,0
society,history,-1,0
society,economic,-1,0
society,philosophy,-1,0
proof,knowledge,0,0
proof,logic,0,0
proof,mathematic,0,0
grade,success,-1,0
grade,anxiety,-1,-1
grade,exam,-1,-1
success,future,0,0
success,study,0,0
success,grade,0,-1
equation,mathematic,0,0
equation,logic,0,0
equation,number,0,0
lecture,knowledge,-1,0
lecture,philosophy,-1,0
lecture,biology,-1,-1
future,success,0,0
future,society,0,-1
future,anxiety,0,-1
study,knowledge,0,0
study,homework,0,-1
study,success,0,0
logic,proof,0,0
logic,philosophy,0,0
logic,science,0,0
problem - solve,logic,0,0
problem - solve,equation,0,0
problem - solve,datum,0,0
scientist,research,0,0
scientist,datum,0,0
scientist,biology,0,-1
biology,nature,-1,0
biology,society,-1,-1
biology,history,-1,0
variable,equation,-1,0
variable,mathematic,-1,0
variable,datum,-1,0
history,society,0,-1
history,philosophy,0,0
history,change,0,-1
llm,computation,-1,0
llm,datum,-1,0
llm,mathematic,-1,0
computation,datum,0,0
computation,number,0,0
computation,equation,0,0
mathematic,logic,0,0
mathematic,equation,0,0
mathematic,proof,0,0
exam,anxiety,-1,-1
exam,grade,-1,-1
exam,failure,-1,-1
