cue_word,association_word,cue_valence,associated_valence
professor,teacher,0,0
professor,lecture,0,0
professor,knowledge,0,1
society,community,0,0
society,people,0,1
society,culture,0,0
variable,math,0,1
variable,change,0,0
variable,unknown,0,-1
student,learn,0,1
student,school,0,0
student,young,0,0
experiment,science,0,1
experiment,test,0,0
experiment,discovery,0,1
failure,mistake,-1,-1
failure,loss,-1,-1
failure,disappointment,-1,-1
ai,technology,0,1
ai,future,0,0
ai,robot,0,0
proof,evidence,0,0
proof,math,0,1
proof,certainty,0,1
work,job,0,0
work,effort,0,0
work,productivity,0,0
number,math,0,1
number,count,0,0
number,datum,0,0
knowledge,learn,1,1
knowledge,wisdom,1,1
knowledge,information,1,0
mathematic,number,1,0
mathematic,logic,1,0
mathematic,problem,1,0
class,school,0,0
class,student,0,0
class,teach,0,0
informatic,computer,0,0
informatic,datum,0,0
informatic,technology,0,1
biology,science,0,0
biology,life,0,1
biology,cell,0,0
anxiety,stress,-1,-1
anxiety,fear,-1,-1
anxiety,worry,-1,-1
scientist,research,0,0
scientist,lab,0,0
scientist,discovery,0,1
logic,reasoning,0,0
logic,math,0,1
logic,think,0,0
creativity,art,0,0
creativity,innovation,0,1
creativity,imagination,0,1
problem - solve,logic,0,0
problem - solve,math,0,1
problem - solve,challenge,0,0
grade,school,0,0
grade,mark,0,0
grade,performance,0,0
art,creativity,0,0
art,paint,0,0
art,beauty,0,1
blackboard,class,0,0
blackboard,teacher,0,0
blackboard,write,0,0
theorem,math,0,1
theorem,proof,0,0
theorem,logic,0,0
literature,book,0,0
literature,read,0,0
literature,story,0,0
exam,stress,0,-1
exam,study,0,0
exam,grade,0,0
music,relaxation,1,1
music,concert,1,0
music,rhythm,1,0
physics,maths,0,0
physics,law,0,0
physics,difficult,0,-1
study,book,0,0
study,focus,0,0
study,exam,0,0
job,career,0,0
job,money,0,1
job,work,0,0
algorithm,code,0,0
algorithm,logic,0,0
algorithm,computer,0,0
model,maths,0,0
model,prediction,0,0
model,simulation,0,0
chemistry,lab,0,0
chemistry,reaction,0,0
chemistry,element,0,0
history,past,-1,0
history,date,-1,-1
history,boredom,-1,-1
teacher,learn,0,0
teacher,school,0,0
teacher,explain,0,0
equation,maths,0,0
equation,solve,0,0
equation,variable,0,0
chatgpt,ai,1,1
chatgpt,help,1,1
chatgpt,technology,1,1
datum,information,0,0
datum,analysis,0,0
datum,statistic,0,0
success,achievement,1,1
success,happy,1,1
success,goal,1,0
career,job,0,0
career,growth,0,0
career,future,0,0
llm,ai,1,1
llm,language,1,0
llm,model,1,0
lecture,learn,0,0
lecture,teacher,0,0
lecture,note,0,0
classroom,school,0,0
classroom,student,0,0
classroom,learn,0,0
computation,maths,0,0
computation,computer,0,0
computation,algorithm,0,0
science,experiment,0,0
science,discovery,0,0
science,stem,0,0
teamwork,collaboration,0,0
teamwork,group,0,0
teamwork,project,0,0
homework,study,0,0
homework,assignment,0,0
homework,stress,0,-1
philosophy,think,-1,0
philosophy,mean,-1,0
philosophy,ethic,-1,0
stem,science,0,0
stem,technology,0,0
stem,engineering,0,0
future,hope,0,0
future,plan,0,0
future,uncertainty,0,-1
