cue_word,association_word,cue_valence,associated_valence
philosophy,confusion,-1,-1
philosophy,debate,-1,-1
philosophy,mean,-1,0
study,book,-1,0
study,focus,-1,1
study,stress,-1,-1
biology,cell,-1,-1
biology,nature,-1,1
biology,bore,-1,-1
mathematic,number,1,1
mathematic,logic,1,1
mathematic,challenge,1,0
future,uncertainty,-1,-1
future,career,-1,0
future,hope,-1,1
chemistry,reaction,-1,-1
chemistry,experiment,-1,0
chemistry,complex,-1,-1
society,inequality,-1,-1
society,change,-1,-1
society,rule,-1,-1
experiment,science,0,1
experiment,discovery,0,1
experiment,risk,0,-1
history,past,-1,-1
history,lesson,-1,0
history,dry,-1,-1
number,math,1,1
number,precision,1,1
number,calculation,1,0
professor,knowledge,-1,1
professor,authority,-1,-1
professor,strict,-1,-1
failure,loss,-1,-1
failure,shame,-1,-1
failure,lesson,-1,-1
career,success,0,1
career,stability,0,0
career,pressure,0,-1
proof,evidence,1,1
proof,logic,1,1
proof,certainty,1,1
grade,effort,-1,0
grade,score,-1,0
grade,pressure,-1,-1
physics,law,1,0
physics,universe,1,1
physics,fascinating,1,1
chatgpt,tool,-1,0
chatgpt,confuse,-1,-1
chatgpt,ai,-1,-1
datum,information,0,1
datum,analysis,0,0
datum,number,0,1
anxiety,stress,-1,-1
anxiety,fear,-1,-1
anxiety,overwhelm,-1,-1
student,learn,-1,0
student,pressure,-1,-1
student,youth,-1,0
logic,reason,1,1
logic,proof,1,1
logic,structure,1,1
variable,change,-1,-1
variable,math,-1,1
variable,uncertainty,-1,-1
art,creativity,0,1
art,expression,0,1
art,subjective,0,-1
teamwork,collaboration,0,1
teamwork,effort,0,0
teamwork,conflict,0,-1
literature,story,-1,0
literature,word,-1,0
literature,bore,-1,-1
lecture,boredom,-1,-1
lecture,note,-1,0
lecture,teacher,-1,-1
informatic,cod,0,1
informatic,computer,0,0
informatic,math,0,1
creativity,art,1,1
creativity,imagination,1,1
creativity,music,1,1
computation,calculator,0,0
computation,datum,0,-1
computation,math,0,1
llm,robot,-1,-1
llm,intelligence,-1,0
llm,future,-1,0
stem,science,0,1
stem,engineering,0,0
stem,math,0,1
work,money,-1,0
work,stress,-1,-1
work,job,-1,-1
equation,number,0,0
equation,solve,0,1
equation,challenge,0,-1
science,experiment,1,1
science,discovery,1,1
science,physics,1,1
scientist,lab,0,0
scientist,research,0,1
scientist,genius,0,1
classroom,student,-1,-1
classroom,blackboard,-1,-1
classroom,quiet,-1,-1
exam,stress,-1,-1
exam,study,-1,-1
exam,pressure,-1,-1
homework,time,-1,-1
homework,assignment,-1,-1
homework,boredom,-1,-1
job,career,-1,0
job,salary,-1,0
job,responsibility,-1,-1
blackboard,chalk,-1,-1
blackboard,lesson,-1,-1
blackboard,classroom,-1,-1
music,melody,1,1
music,relax,1,1
music,classical,1,1
teacher,knowledge,0,1
teacher,explain,0,0
teacher,patient,0,0
success,achievement,1,1
success,goal,1,1
success,happy,1,1
model,math,0,1
model,simulation,0,0
model,design,0,0
knowledge,learn,1,1
knowledge,wisdom,1,1
knowledge,book,1,0
problem - solve,logic,1,1
problem - solve,challenge,1,0
problem - solve,solution,1,1
ai,technology,-1,0
ai,future,-1,0
ai,robot,-1,-1
algorithm,code,0,1
algorithm,step,0,0
algorithm,math,0,1
class,student,-1,-1
class,teacher,-1,0
class,lesson,-1,-1
theorem,proof,0,1
theorem,math,0,1
theorem,logic,0,1
