cue_word,association_word,cue_valence,associated_valence
blackboard,chalk,0,0
blackboard,classroom,0,0
blackboard,learn,0,1
homework,work,-1,0
homework,pressure,-1,-1
homework,study,-1,0
stem,science,1,1
stem,technology,1,0
stem,future,1,0
chemistry,lab,0,0
chemistry,element,0,0
chemistry,reaction,0,0
lecture,professor,0,0
lecture,audience,0,0
lecture,knowledge,0,1
class,student,0,0
class,learn,0,1
class,environment,0,0
teamwork,collaboration,1,1
teamwork,success,1,1
teamwork,support,1,0
scientist,research,1,0
scientist,discovery,1,1
scientist,curiosity,1,1
philosophy,think,0,1
philosophy,question,0,0
philosophy,ethic,0,0
creativity,innovation,1,1
creativity,art,1,0
creativity,imagination,1,1
success,achievement,1,1
success,goal,1,0
success,reward,1,0
professor,teacher,0,0
professor,mentor,0,1
professor,expertise,0,0
future,hope,0,1
future,possibility,0,0
future,change,0,0
physics,matter,0,0
physics,energy,0,0
physics,law,0,0
mathematic,number,0,0
mathematic,equation,0,0
mathematic,logic,0,0
literature,story,0,0
literature,poetry,0,0
literature,language,0,0
variable,datum,0,0
variable,change,0,0
variable,experiment,0,0
knowledge,wisdom,1,1
knowledge,learn,1,1
knowledge,understand,1,0
study,research,0,0
study,curiosity,0,1
study,effort,0,0
science,truth,1,1
science,experiment,1,0
science,discovery,1,1
classroom,education,0,0
classroom,learn,0,1
classroom,interaction,0,0
informatic,datum,0,0
informatic,technology,0,0
informatic,analysis,0,0
society,community,0,0
society,culture,0,0
society,progress,0,1
problem - solve,logic,1,0
problem - solve,innovation,1,1
problem - solve,resolution,1,0
logic,reasoning,,1
logic,structure,,0
logic,truth,,1
history,time,0,0
history,culture,0,0
history,record,0,0
art,beauty,0,1
art,creativity,0,0
art,emotion,0,0
datum,fact,0,0
datum,analysis,0,0
datum,pattern,0,0
music,melody,0,1
music,rhythm,0,0
music,harmony,0,0
equation,math,0,0
model,simulation,0,0
model,prediction,0,0
model,theory,0,0
ai,intelligence,0,1
ai,automation,0,0
ai,technology,0,0
grade,score,0,0
grade,performance,0,0
grade,evaluation,0,0
student,learn,0,0
student,curiosity,0,0
student,growth,0,0
chatgpt,assistant,0,0
chatgpt,conversation,0,0
chatgpt,language,0,0
biology,life,0,1
biology,cell,0,0
biology,genetic,0,0
llm,model,0,0
llm,text,0,0
llm,neural,0,0
experiment,hypothesis,0,0
experiment,test,0,0
experiment,discovery,0,1
computation,calculation,0,0
computation,processing,0,0
computation,efficiency,0,0
job,employment,0,0
job,income,0,0
job,responsibility,0,0
failure,mistake,-1,-1
failure,learn,-1,0
failure,resilience,-1,0
algorithm,logic,0,0
algorithm,process,0,0
algorithm,efficiency,0,0
exam,test,0,0
exam,pressure,0,-1
exam,assessment,0,0
teacher,mentor,0,1
teacher,education,0,0
teacher,guidance,0,0
theorem,proof,0,0
theorem,mathematic,0,0
theorem,truth,0,1
work,effort,0,0
work,output,0,0
work,collaboration,0,0
career,path,0,0
career,success,0,0
career,growth,0,0
anxiety,worry,-1,-1
anxiety,stress,-1,-1
anxiety,fear,-1,-1
proof,logic,0,0
proof,validation,0,0
proof,certainty,0,1
number,quantify,0,0
number,calculate,0,0
number,analyze,0,0
