cue_word,association_word,cue_valence,associated_valence
teacher,guidance,0,0
teacher,knowledge,0,1
teacher,patience,0,0
biology,life,0,0
biology,cell,0,0
biology,nature,0,1
society,community,0,0
society,rule,0,0
society,diversity,0,1
proof,evidence,0,0
proof,mathematic,0,-1
proof,logic,0,0
career,growth,1,1
career,success,1,1
career,opportunity,1,1
professor,expert,0,1
professor,lecture,0,0
professor,research,0,0
homework,study,-1,0
homework,assignment,-1,-1
homework,effort,-1,0
science,discovery,1,1
science,experiment,1,0
science,technology,1,1
study,learn,0,0
study,focus,0,0
study,time,0,-1
chemistry,reaction,-1,0
chemistry,element,-1,0
chemistry,laboratory,-1,0
teamwork,collaboration,1,1
teamwork,support,1,1
teamwork,communication,1,1
problem - solve,challenge,0,0
problem - solve,logic,0,0
problem - solve,creativity,0,1
classroom,learn,0,0
classroom,teacher,0,0
classroom,student,0,0
number,mathematic,0,-1
number,count,0,0
number,datum,0,0
blackboard,teach,0,0
blackboard,write,0,0
blackboard,lesson,0,0
failure,mistake,-1,-1
failure,learn,-1,0
failure,disappointment,-1,-1
computation,calculation,0,0
computation,technology,0,1
computation,algorithm,0,0
mathematic,number,-1,0
mathematic,logic,-1,0
mathematic,problem,-1,0
student,learn,0,0
student,school,0,0
student,knowledge,0,1
ai,technology,1,1
ai,future,1,1
ai,learn,1,0
experiment,science,0,1
experiment,discovery,0,1
experiment,testing,0,0
variable,mathematic,0,-1
variable,change,0,0
variable,datum,0,0
future,hope,1,1
future,technology,1,1
future,opportunity,1,1
theorem,mathematic,0,-1
theorem,proof,0,0
theorem,logic,0,0
anxiety,stress,-1,-1
anxiety,worry,-1,-1
anxiety,fear,-1,-1
chatgpt,ai,0,0
chatgpt,conversation,0,0
chatgpt,technology,0,0
job,work,0,0
job,money,0,0
job,routine,0,-1
literature,book,-1,0
literature,fiction,-1,-1
literature,bore,-1,-1
equation,math,0,0
equation,science,0,0
equation,problem,0,-1
physics,science,0,0
physics,difficult,0,-1
physics,interest,0,0
grade,school,-1,-1
grade,performance,-1,0
grade,stress,-1,-1
logic,reasoning,0,0
logic,puzzle,0,0
logic,think,0,0
music,sound,1,0
music,rhythm,1,0
music,enjoyment,1,1
algorithm,code,0,0
algorithm,computer,0,0
algorithm,solution,0,0
history,past,0,0
history,event,0,0
history,learn,0,0
scientist,research,0,0
scientist,discovery,0,1
scientist,intelligence,0,0
art,creativity,0,1
art,expression,0,0
art,beauty,0,1
class,school,-1,-1
class,teacher,-1,0
class,learn,-1,0
lecture,teacher,-1,0
lecture,information,-1,0
lecture,bore,-1,-1
success,achievement,1,1
success,happiness,1,1
success,effort,1,0
model,design,0,0
model,representation,0,0
model,simulation,0,0
llm,machine,0,0
llm,learn,0,0
llm,language,0,0
philosophy,think,1,1
philosophy,question,1,0
philosophy,mean,1,1
creativity,innovation,1,1
creativity,art,1,1
creativity,expression,1,1
informatic,computer,0,0
informatic,datum,0,0
informatic,information,0,0
work,job,0,0
work,effort,0,0
work,money,0,0
exam,test,-1,-1
exam,stress,-1,-1
exam,grade,-1,-1
knowledge,learn,1,1
knowledge,education,1,0
knowledge,understand,1,1
datum,information,0,0
datum,analysis,0,0
datum,computer,0,0
stem,science,0,0
stem,technology,0,0
stem,engineering,0,0
