cue_word,association_word,cue_valence,associated_valence
problem - solve,challenge,1,0
problem - solve,solution,1,1
problem - solve,logic,1,1
model,simulation,0,0
model,theory,0,1
model,abstract,0,-1
literature,bore,-1,-1
literature,fiction,-1,-1
literature,word,-1,-1
scientist,research,1,1
scientist,discovery,1,1
scientist,expert,1,0
success,achievement,1,1
success,goal,1,0
success,pride,1,0
chatgpt,tool,0,0
chatgpt,ai,0,1
chatgpt,helpful,0,1
history,past,-1,-1
history,fact,-1,0
history,date,-1,-1
creativity,innovation,0,1
creativity,art,0,-1
creativity,imagination,0,0
failure,mistake,-1,-1
failure,learn,-1,0
failure,disappointment,-1,-1
knowledge,wisdom,1,1
knowledge,education,1,1
knowledge,power,1,0
future,progress,0,1
future,unknown,0,-1
future,hope,0,0
chemistry,reaction,1,1
chemistry,element,1,1
chemistry,lab,1,0
study,learn,0,1
study,effort,0,0
study,book,0,-1
datum,analysis,1,1
datum,number,1,1
datum,evidence,1,1
blackboard,teach,-1,0
blackboard,chalk,-1,-1
blackboard,classroom,-1,-1
job,work,-1,-1
job,income,-1,1
job,stress,-1,-1
philosophy,think,-1,0
philosophy,abstract,-1,-1
philosophy,debate,-1,-1
lecture,learn,-1,1
lecture,bore,-1,-1
lecture,professor,-1,0
algorithm,logic,1,1
algorithm,code,1,1
algorithm,efficiency,1,1
science,discovery,1,1
science,truth,1,1
science,method,1,1
ai,intelligence,1,1
ai,future,1,0
ai,technology,1,1
experiment,test,1,0
experiment,result,1,1
experiment,hypothesis,1,1
computation,math,1,1
computation,processing,1,1
computation,speed,1,1
stem,science,1,1
stem,technology,1,1
stem,engineering,1,1
equation,math,1,1
equation,balance,1,0
equation,solution,1,1
professor,knowledge,1,1
professor,authority,1,-1
professor,research,1,0
classroom,learn,0,1
classroom,discipline,0,-1
classroom,interaction,0,0
homework,practice,-1,0
homework,stress,-1,-1
homework,responsibility,-1,-1
exam,test,-1,-1
exam,pressure,-1,-1
exam,evaluation,-1,-1
biology,life,0,1
biology,science,0,1
biology,complexity,0,-1
teamwork,collaboration,0,1
teamwork,synergy,0,1
teamwork,conflict,0,-1
art,creativity,-1,0
art,expression,-1,-1
art,subjective,-1,-1
grade,score,-1,-1
grade,achievement,-1,0
grade,pressure,-1,-1
theorem,proof,0,0
theorem,logic,0,1
theorem,certainty,0,0
physics,law,1,0
physics,universe,1,1
physics,challenge,1,0
class,session,0,-1
class,group,0,0
class,education,0,1
student,learner,0,1
student,youth,0,0
student,potential,0,1
logic,reason,1,1
logic,clarity,1,1
logic,rigor,1,0
llm,ai,0,0
llm,tool,0,0
llm,future,0,1
anxiety,worry,-1,-1
anxiety,fear,-1,-1
anxiety,stress,-1,-1
career,job,0,-1
career,growth,0,1
career,stability,0,0
informatic,datum,0,0
informatic,compute,0,1
informatic,system,0,0
proof,evidence,0,0
proof,validation,0,0
proof,rigor,0,0
work,effort,-1,-1
work,productivity,-1,0
work,exhaustion,-1,-1
variable,change,-1,-1
variable,uncertainty,-1,-1
variable,parameter,-1,0
society,community,0,1
society,norm,0,-1
society,complexity,0,-1
music,harmony,1,1
music,emotion,1,0
music,art,1,-1
mathematic,number,1,1
mathematic,precision,1,1
mathematic,abstraction,1,0
teacher,educator,1,1
teacher,guidance,1,1
teacher,authority,1,-1
number,quantity,1,0
number,pattern,1,1
number,precision,1,1
