cue_word,association_word,cue_valence,associated_valence
proof,evidence,0,-1
proof,truth,0,1
classroom,learn,0,0
classroom,student,0,-1
class,course,-1,-1
class,teacher,-1,0
professor,knowledge,0,1
professor,lecture,0,-1
society,people,0,0
society,culture,0,0
blackboard,chalk,-1,-1
blackboard,write,-1,-1
art,creativity,1,1
art,paint,1,0
history,past,-1,-1
history,event,-1,-1
lecture,teach,-1,0
lecture,student,-1,-1
ai,future,0,0
ai,technology,0,0
anxiety,stress,-1,-1
anxiety,fear,-1,-1
physics,law,-1,-1
physics,energy,-1,0
job,work,-1,-1
job,career,-1,0
grade,score,-1,-1
grade,performance,-1,-1
scientist,research,0,0
scientist,discovery,0,1
failure,mistake,-1,-1
failure,loss,-1,-1
stem,science,0,0
stem,math,0,-1
computation,calculate,-1,-1
computation,algorithm,-1,-1
philosophy,think,0,0
philosophy,wisdom,0,1
mathematic,number,-1,-1
mathematic,logic,-1,-1
datum,information,0,0
datum,analysis,0,0
equation,math,-1,-1
equation,solution,-1,0
literature,book,1,1
literature,write,1,0
model,design,-1,0
model,representation,-1,-1
work,job,-1,-1
work,effort,-1,-1
career,growth,0,1
career,achievement,0,1
career,stability,0,0
future,hope,-1,0
future,uncertainty,-1,-1
future,progress,-1,0
algorithm,logic,-1,0
algorithm,efficiency,-1,1
algorithm,complexity,-1,-1
knowledge,learn,1,1
knowledge,wisdom,1,1
knowledge,power,1,0
teamwork,collaboration,1,1
teamwork,support,1,1
teamwork,unity,1,1
biology,life,0,1
biology,cell,0,-1
biology,evolution,0,0
variable,change,-1,-1
variable,flexibility,-1,0
variable,uncertainty,-1,-1
theorem,proof,-1,0
theorem,mathematic,-1,-1
theorem,truth,-1,1
science,discovery,1,1
science,experiment,1,0
science,innovation,1,1
informatic,datum,-1,0
informatic,technology,-1,0
informatic,information,-1,0
success,achievement,1,1
success,happiness,1,1
success,prosperity,1,1
experiment,discovery,0,1
experiment,risk,0,-1
experiment,curiosity,0,0
problem - solve,logic,0,0
problem - solve,creativity,0,1
problem - solve,solution,0,1
number,math,-1,-1
number,datum,-1,0
number,calculation,-1,-1
chemistry,reaction,0,-1
chemistry,element,0,-1
chemistry,laboratory,0,-1
creativity,innovation,1,1
creativity,art,1,1
creativity,imagination,1,1
music,harmony,1,1
music,emotion,1,0
music,rhythm,1,0
homework,study,-1,-1
homework,stress,-1,-1
homework,learn,-1,0
teacher,education,1,1
teacher,guidance,1,1
teacher,knowledge,1,1
logic,reasoning,0,0
logic,structure,0,-1
logic,mathematic,0,-1
llm,language,0,0
llm,model,0,-1
llm,intelligence,0,1
study,learn,0,1
study,focus,0,0
study,effort,0,-1
student,learn,0,1
student,education,0,1
student,youth,0,0
chatgpt,ai,0,-1
chatgpt,conversation,0,1
chatgpt,help,0,1
exam,test,-1,-1
exam,stress,-1,-1
exam,preparation,-1,-1
