cue_word,association_word,cue_valence,associated_valence
classroom,desk,0,0
classroom,lecture,0,0
classroom,bored,0,-1
class,lesson,0,0
class,group,0,0
class,schedule,0,0
chemistry,lab,-1,0
chemistry,explosion,-1,0
chemistry,bore,-1,-1
logic,puzzle,1,1
logic,reasoning,1,1
logic,true,1,0
model,learn,1,1
model,machine,1,0
model,predict,1,0
teacher,guide,0,1
teacher,knowledge,0,1
teacher,strict,0,0
job,money,0,1
job,stress,0,-1
job,career,0,0
history,date,0,0
history,memorize,0,-1
history,war,0,0
future,success,0,1
future,exciting,0,1
future,uncertain,0,0
work,productive,0,1
work,tired,0,-1
work,team,0,0
informatic,computer,1,1
informatic,programming,1,1
informatic,datum,1,0
failure,defeat,-1,-1
failure,lesson,-1,0
failure,sad,-1,-1
grade,a,0,1
grade,test,0,0
grade,effort,0,0
chatgpt,helpful,1,1
chatgpt,ai,1,1
chatgpt,chat,1,0
homework,tedious,0,-1
homework,practice,0,0
homework,night,0,0
exam,stress,0,-1
exam,study,0,0
exam,pass,0,1
teamwork,collaborate,0,0
teamwork,idea,0,1
teamwork,conflict,0,0
algorithm,efficient,1,1
algorithm,code,1,1
algorithm,solve,1,1
professor,expert,0,1
professor,lecture,0,0
professor,office,0,0
student,learn,0,1
student,party,0,0
student,debt,0,-1
llm,language,1,0
llm,generate,1,0
llm,smart,1,1
study,book,0,0
study,note,0,0
study,understand,0,1
number,math,0,0
number,pattern,0,1
number,calculate,0,0
scientist,research,1,1
scientist,discover,1,1
scientist,lab,1,0
career,ambition,1,1
career,success,1,1
career,path,1,0
computation,cod,0,-1
computation,machine,0,0
computation,tedious,0,-1
philosophy,wisdom,0,1
philosophy,think,0,0
philosophy,deep,0,0
stem,math,-1,-1
stem,engineering,-1,-1
stem,difficult,-1,-1
datum,number,0,-1
datum,stat,0,0
datum,dry,0,-1
theorem,proof,0,0
theorem,logic,0,0
theorem,complex,0,-1
success,achievement,0,0
success,money,0,0
success,stress,0,-1
mathematic,equation,-1,-1
mathematic,homework,-1,-1
mathematic,failure,-1,-1
creativity,imagination,1,1
creativity,art,1,1
creativity,freedom,1,1
proof,evidence,0,0
proof,rigor,0,0
proof,tedious,0,-1
variable,unknown,-1,0
variable,algebra,-1,-1
variable,confuse,-1,-1
experiment,lab,0,-1
experiment,hypothesis,0,0
experiment,messy,0,0
blackboard,chalk,0,0
blackboard,classroom,0,0
blackboard,lecture,0,-1
science,fact,0,0
science,physics,0,-1
science,bore,0,-1
lecture,professor,0,0
lecture,note,0,0
lecture,drowsy,0,-1
knowledge,book,0,1
knowledge,wisdom,0,1
knowledge,power,0,0
problem - solve,puzzle,0,0
problem - solve,logic,0,0
problem - solve,frustration,0,-1
anxiety,worry,-1,-1
anxiety,panic,-1,-1
anxiety,fear,-1,-1
art,beauty,1,1
art,expression,1,1
art,inspire,1,1
literature,story,1,1
literature,poetry,1,1
literature,emotion,1,0
physics,formula,-1,-1
physics,quantum,-1,0
physics,impossible,-1,-1
ai,robot,0,0
ai,future,0,0
ai,threat,0,-1
society,culture,0,0
society,people,0,0
society,politic,0,0
equation,solve,-1,0
equation,algebra,-1,-1
equation,nightmare,-1,-1
music,melody,1,1
music,rhythm,1,1
music,soul,1,1
biology,cell,0,0
biology,dissection,0,-1
biology,gross,0,-1
