cue_word,association_word,cue_valence,associated_valence
variable,change,0,-1
variable,math,0,-1
philosophy,confusion,-1,-1
philosophy,abstract,-1,-1
career,stress,-1,-1
career,money,-1,0
student,learn,0,0
student,pressure,0,-1
informatic,computer,-1,0
informatic,complex,-1,-1
history,story,1,1
history,past,1,0
computation,number,-1,-1
computation,difficult,-1,-1
scientist,research,0,0
scientist,smart,0,1
classroom,bore,-1,-1
classroom,teacher,-1,0
mathematic,hard,-1,-1
mathematic,logic,-1,0
music,joy,1,1
music,relaxation,1,1
anxiety,fear,-1,-1
anxiety,stress,-1,-1
blackboard,school,0,-1
blackboard,chalk,0,0
equation,solve,-1,0
equation,algebra,-1,-1
biology,life,0,1
biology,science,0,0
datum,information,0,0
datum,analysis,0,0
literature,book,1,1
literature,imagination,1,1
experiment,test,0,0
experiment,discovery,0,1
study,focus,0,0
study,tiring,0,-1
theorem,proof,-1,0
theorem,math,-1,-1
grade,score,-1,0
grade,pressure,-1,-1
problem - solve,challenge,0,0
problem - solve,solution,0,1
society,people,0,0
society,community,0,1
llm,ai,0,0
llm,future,0,0
model,simulation,0,0
model,theory,0,0
lecture,bore,0,-1
lecture,learn,0,0
lecture,long,0,-1
chatgpt,helpful,0,0
chatgpt,modern,0,0
chatgpt,tool,0,0
success,happy,1,1
success,goal,1,0
success,achievement,1,1
failure,sad,-1,-1
failure,mistake,-1,-1
failure,lesson,-1,0
exam,stress,-1,-1
exam,test,-1,0
exam,grade,-1,0
number,math,0,0
number,count,0,0
number,difficult,0,-1
physics,complex,0,-1
physics,theory,0,0
physics,science,0,0
knowledge,power,1,0
knowledge,wisdom,1,1
knowledge,growth,1,0
class,student,0,0
class,room,0,0
class,education,0,1
stem,technical,0,0
stem,innovation,0,1
stem,hard,0,-1
art,beauty,1,1
art,expression,1,1
art,creative,1,1
future,hope,0,1
future,uncertain,0,-1
future,plan,0,0
homework,task,-1,0
homework,bore,-1,-1
homework,necessary,-1,0
science,discovery,0,1
science,research,0,0
science,fact,0,0
professor,expert,0,1
professor,strict,0,-1
professor,teach,0,1
proof,evidence,0,0
proof,logic,0,0
proof,certain,0,0
work,effort,0,0
work,money,0,0
work,tiring,0,-1
logic,reason,0,0
logic,clear,0,0
logic,think,0,0
algorithm,step,0,0
algorithm,computer,0,0
algorithm,efficient,0,1
ai,intelligence,0,1
ai,future,0,0
ai,machine,0,0
chemistry,reaction,0,0
chemistry,lab,0,0
chemistry,complex,0,-1
job,career,0,0
job,income,0,1
job,stress,0,-1
teamwork,collaboration,1,1
teamwork,friend,1,1
teamwork,effective,1,1
creativity,original,1,1
creativity,imagination,1,1
creativity,fun,1,1
teacher,guide,1,1
teacher,patient,1,0
teacher,educator,1,1
