cue_word,association_word,cue_valence,associated_valence
teacher,insightful,0,1
proof,rigor,0,0
ai,innovation,0,1
creativity,imagination,1,0
music,harmony,1,0
music,rhythm,1,0
success,achievement,1,0
chatgpt,assistant,0,1
chatgpt,knowledge,0,1
algorithm,logic,0,0
homework,diligence,-1,0
philosophy,think,0,0
philosophy,reflection,0,1
grade,evaluation,-1,0
mathematic,precision,0,0
mathematic,calculation,0,0
student,learner,1,0
career,aspiration,0,0
career,growth,0,1
anxiety,stress,-1,-1
llm,large,0,0
llm,model,0,1
scientist,researcher,0,0
theorem,logic,0,-1
theorem,proof,0,0
exam,challenge,-1,-1
exam,pressure,-1,-1
equation,formula,0,0
number,count,0,0
chemistry,experiment,-1,0
chemistry,molecule,-1,0
biology,life,1,1
biology,organism,1,0
blackboard,chalk,-1,0
study,learn,1,1
study,focus,1,0
art,canvas,0,0
model,prototype,1,0
class,session,0,-1
class,group,0,0
experiment,trial,1,0
experiment,research,1,1
professor,mentor,0,0
computation,calculation,0,-1
computation,algorithm,0,0
problem - solve,challenge,0,1
problem - solve,puzzle,0,0
science,experimentation,1,0
classroom,education,0,0
classroom,learn,0,1
classroom,teach,0,0
informatic,datum,0,1
informatic,cod,0,0
society,community,0,0
society,culture,0,0
lecture,talk,-1,0
lecture,presentation,-1,-1
physics,experimentation,0,1
physics,theory,0,0
teamwork,collaboration,0,0
teamwork,cooperation,0,0
job,career,0,0
job,profession,0,1
variable,parameter,-1,-1
variable,constant,-1,-1
failure,mistake,-1,-1
failure,setback,-1,-1
stem,innovation,0,1
stem,research,0,0
logic,reasoning,0,0
logic,rationality,0,0
future,progress,1,0
future,change,1,0
datum,information,1,0
datum,analytic,1,0
history,past,-1,-1
history,legacy,-1,0
literature,fiction,0,1
literature,narrative,0,0
work,labor,0,-1
work,effort,0,0
knowledge,learn,1,0
knowledge,wisdom,1,1
