cue_word,association_word,cue_valence,associated_valence
grade,effort,-1,0
grade,stress,-1,-1
grade,recognition,-1,1
datum,analysis,0,0
datum,organization,0,1
datum,truth,0,0
model,equation,-1,0
model,prediction,-1,0
model,complexity,-1,-1
work,routine,-1,-1
work,purpose,-1,1
work,fatigue,-1,-1
job,security,0,1
job,responsibility,0,0
job,stability,0,1
study,focus,0,1
study,growth,0,1
study,pressure,0,-1
variable,uncertainty,-1,-1
variable,flexibility,-1,0
variable,analysis,-1,0
stem,science,0,1
stem,challenge,0,-1
stem,opportunity,0,1
theorem,proof,0,1
theorem,logic,0,1
theorem,complexity,0,-1
art,creativity,-1,1
art,subjective,-1,-1
art,expression,-1,0
knowledge,power,1,0
knowledge,curiosity,1,1
knowledge,growth,1,1
computation,algorithm,-1,0
computation,efficiency,-1,1
computation,precision,-1,1
science,discovery,1,1
science,evidence,1,1
science,truth,1,0
future,uncertainty,0,-1
future,hope,0,1
future,preparation,0,0
career,growth,1,1
career,commitment,1,0
career,security,1,1
literature,imagination,-1,1
literature,history,-1,0
literature,boredom,-1,-1
professor,knowledge,0,1
professor,authority,0,-1
professor,respect,0,1
classroom,learn,-1,1
classroom,discipline,-1,-1
classroom,noise,-1,-1
philosophy,think,1,1
philosophy,mean,1,1
philosophy,depth,1,1
lecture,information,-1,0
lecture,monotony,-1,-1
lecture,insight,-1,1
algorithm,logic,0,1
algorithm,solution,0,1
algorithm,complexity,0,-1
problem - solve,challenge,1,0
problem - solve,creativity,1,1
problem - solve,satisfaction,1,1
teacher,guidance,1,1
teacher,patience,1,1
teacher,respect,1,1
equation,balance,0,0
equation,solution,0,1
equation,complexity,0,-1
scientist,discovery,1,1
scientist,curiosity,1,1
scientist,rigor,1,0
mathematic,number,-1,-1
mathematic,proof,-1,0
mathematic,logic,-1,1
exam,anxiety,-1,-1
exam,blackboard,-1,-1
exam,failure,-1,-1
informatic,ai,0,0
informatic,chatgpt,0,-1
informatic,logic,0,1
history,society,-1,0
history,class,-1,-1
history,proof,-1,0
student,homework,-1,-1
student,exam,-1,-1
student,teamwork,-1,1
biology,chemistry,0,1
biology,experiment,0,0
biology,nature,0,1
chemistry,proof,1,0
chemistry,experiment,1,0
chemistry,number,1,-1
proof,logic,0,1
proof,mathematic,0,-1
proof,chemistry,0,1
number,logic,-1,1
number,mathematic,-1,-1
number,informatic,-1,0
chatgpt,ai,-1,0
chatgpt,logic,-1,1
chatgpt,informatic,-1,0
ai,future,0,0
ai,logic,0,1
ai,informatic,0,0
blackboard,class,-1,-1
blackboard,exam,-1,-1
blackboard,teacher,-1,-1
class,student,-1,-1
class,blackboard,-1,-1
class,teamwork,-1,1
anxiety,exam,-1,-1
anxiety,failure,-1,-1
anxiety,pressure,-1,-1
creativity,photography,1,1
creativity,music,1,1
creativity,success,1,1
llm,ai,-1,0
llm,logic,-1,1
llm,future,-1,0
teamwork,success,1,1
teamwork,class,1,-1
teamwork,collaboration,1,1
physics,experiment,0,0
physics,number,0,-1
physics,proof,0,0
music,creativity,1,1
music,relaxation,1,1
music,cinema,1,1
success,creativity,1,1
success,teamwork,1,1
success,achievement,1,1
experiment,proof,0,0
experiment,chemistry,0,1
experiment,physics,0,0
homework,student,-1,-1
homework,anxiety,-1,-1
homework,effort,-1,-1
failure,anxiety,-1,-1
failure,exam,-1,-1
failure,pressure,-1,-1
logic,mathematic,1,-1
logic,proof,1,0
logic,ai,1,0
society,history,0,-1
society,teamwork,0,1
society,change,0,-1
