cue_word,association_word,cue_valence,associated_valence
chatgpt,intelligence,0,0
chatgpt,helpfulness,0,0
chatgpt,accuracy,0,0
student,learn,0,0
student,grade,0,-1
student,effort,0,0
proof,logic,0,0
proof,mathematic,0,0
proof,validity,0,0
science,experiment,0,0
science,discovery,0,0
science,curiosity,0,0
physics,equation,0,-1
physics,law,0,0
physics,energy,0,0
teamwork,collaboration,0,0
teamwork,support,0,0
teamwork,communication,0,0
number,math,-1,0
number,calculation,-1,0
number,datum,-1,0
career,growth,0,0
career,opportunity,0,0
career,skill,0,0
logic,reasoning,0,0
logic,deduction,0,0
logic,structure,0,0
philosophy,question,0,0
philosophy,think,0,0
philosophy,ethic,0,0
blackboard,write,0,0
blackboard,teach,0,0
blackboard,classroom,0,0
homework,practice,-1,0
homework,study,-1,0
homework,completion,-1,0
literature,book,0,0
literature,read,0,0
literature,story,0,0
exam,test,-1,0
exam,pressure,-1,-1
exam,result,-1,0
stem,science,0,0
stem,technology,0,0
stem,engineering,0,0
grade,score,0,0
grade,performance,0,0
grade,achievement,0,0
informatic,computer,0,0
informatic,algorithm,0,0
informatic,programming,0,0
society,community,0,0
society,culture,0,0
society,influence,0,0
scientist,research,0,0
scientist,innovation,0,0
scientist,knowledge,0,0
success,achievement,0,0
success,goal,0,0
success,progress,0,0
class,group,0,0
class,teach,0,0
class,discuss,0,0
work,effort,0,0
work,task,0,0
work,productivity,0,0
variable,change,-1,0
variable,input,-1,0
variable,output,-1,0
problem - solve,solution,0,0
problem - solve,strategy,0,0
problem - solve,think,0,0
anxiety,stress,-1,-1
anxiety,fear,-1,-1
anxiety,worry,-1,-1
model,ai,0,0
model,prediction,0,-1
model,simulation,0,0
music,song,0,0
music,melody,0,0
music,rhythm,0,-1
study,book,0,-1
study,research,0,0
study,learn,0,0
mathematic,equation,0,0
mathematic,theorem,0,0
mathematic,proof,0,-1
lecture,classroom,-1,0
lecture,presentation,-1,0
lecture,discussion,-1,-1
professor,teach,0,0
professor,knowledge,0,0
professor,mentor,0,0
failure,error,-1,-1
failure,mistake,-1,-1
failure,lesson,-1,0
chemistry,molecule,-1,0
chemistry,reaction,-1,-1
chemistry,lab,-1,0
job,career,-1,0
job,work,-1,0
job,salary,-1,-1
theorem,proof,0,-1
theorem,math,0,0
theorem,logic,0,0
experiment,datum,0,0
experiment,result,0,0
experiment,hypothesis,0,-1
algorithm,code,0,0
algorithm,process,0,0
algorithm,step,0,-1
history,past,-1,0
history,event,-1,0
history,timeline,-1,-1
equation,math,0,0
equation,solution,0,0
equation,variable,0,-1
classroom,student,0,0
classroom,teacher,0,0
classroom,lesson,0,0
biology,cell,-1,0
biology,organism,-1,0
biology,life,-1,0
art,paint,0,0
art,creativity,0,0
art,expression,0,0
datum,information,0,0
datum,analysis,0,0
datum,science,0,0
teacher,education,0,0
teacher,guidance,0,0
teacher,student,0,0
creativity,innovation,0,0
creativity,imagination,0,0
creativity,art,0,0
ai,intelligence,0,0
ai,learn,0,0
ai,technology,0,0
future,tomorrow,0,-1
future,progress,0,0
future,change,0,0
llm,language,0,0
llm,model,0,0
llm,text,0,0
computation,processing,0,0
computation,calculation,0,0
computation,speed,0,0
knowledge,understand,0,0
knowledge,wisdom,0,0
knowledge,information,0,0
