cue_word,association_word,cue_valence,associated_valence
experiment,science,0,0
experiment,discovery,0,1
physics,maths,0,0
physics,law,0,0
society,people,0,0
society,rule,0,-1
study,learn,0,1
study,book,0,0
logic,reasoning,0,0
logic,maths,0,0
success,achievement,1,1
success,happiness,1,1
scientist,research,0,0
scientist,lab,0,0
computation,calculation,0,0
computation,maths,0,0
datum,information,0,0
datum,analysis,0,0
art,creativity,0,0
art,paint,0,0
professor,teacher,0,0
professor,knowledge,0,1
biology,life,0,0
biology,cell,0,0
equation,maths,0,0
equation,solution,0,0
student,learn,0,1
student,school,0,0
chatgpt,ai,0,0
chatgpt,assistant,0,0
grade,school,0,0
grade,mark,0,-1
number,maths,0,0
number,count,0,0
future,hope,0,1
future,uncertainty,0,-1
model,design,0,0
model,maths,0,0
job,work,0,0
job,career,0,0
chemistry,reaction,0,0
chemistry,element,0,0
mathematic,number,0,0
mathematic,logic,0,0
teamwork,collaboration,0,0
teamwork,group,0,0
llm,ai,0,0
llm,language,0,0
algorithm,code,0,0
algorithm,maths,0,0
stem,maths,0,1
stem,career,0,0
stem,future,0,0
class,teacher,0,0
class,boredom,0,-1
class,homework,0,-1
blackboard,classroom,0,0
blackboard,teacher,0,0
blackboard,note,0,0
science,maths,0,1
science,experiment,0,0
science,knowledge,0,1
failure,anxiety,-1,-1
failure,homework,-1,-1
failure,exam,-1,-1
history,boredom,-1,-1
history,class,-1,0
history,teacher,-1,0
career,future,0,0
career,work,0,0
career,stem,0,0
ai,future,0,0
ai,informatic,0,0
ai,creativity,0,0
homework,boredom,-1,-1
homework,failure,-1,-1
homework,class,-1,0
informatic,maths,0,1
informatic,ai,0,0
informatic,career,0,0
literature,boredom,-1,-1
literature,history,-1,-1
literature,class,-1,0
anxiety,failure,-1,-1
anxiety,exam,-1,-1
anxiety,homework,-1,-1
creativity,ai,0,0
creativity,music,0,0
creativity,videogame,0,0
theorem,maths,0,1
theorem,proof,0,0
theorem,knowledge,0,1
variable,maths,0,1
variable,informatic,0,0
variable,problem - solve,0,0
music,creativity,0,0
music,videogame,0,0
music,relaxation,0,0
proof,theorem,0,0
proof,maths,0,1
proof,knowledge,0,1
teacher,class,0,0
teacher,blackboard,0,0
teacher,classroom,0,0
problem - solve,maths,0,1
problem - solve,informatic,0,0
problem - solve,knowledge,0,1
knowledge,science,1,0
knowledge,maths,1,1
knowledge,proof,1,0
work,career,0,0
work,future,0,0
work,ai,0,0
philosophy,boredom,-1,-1
philosophy,history,-1,-1
philosophy,class,-1,0
classroom,teacher,0,0
classroom,blackboard,0,0
classroom,class,0,0
exam,anxiety,-1,-1
exam,failure,-1,-1
exam,homework,-1,-1
lecture,class,-1,0
lecture,teacher,-1,0
lecture,boredom,-1,-1
