cue_word,association_word,cue_valence,associated_valence
grade,stress,-1,-1
grade,gpa,-1,0
grade,achievement,-1,1
knowledge,wisdom,1,1
knowledge,book,1,0
knowledge,power,1,0
work,effort,-1,0
work,salary,-1,0
work,tired,-1,-1
lecture,note,-1,-1
lecture,professor,-1,-1
lecture,bore,-1,-1
anxiety,fear,-1,-1
anxiety,worry,-1,-1
anxiety,panic,-1,-1
art,beauty,-1,0
art,draw,-1,-1
art,pointless,-1,-1
chatgpt,helpful,0,1
chatgpt,ai,0,0
chatgpt,cheat,0,-1
career,future,-1,0
career,success,-1,1
career,uncertain,-1,-1
datum,analysis,1,0
datum,science,1,1
datum,clean,1,-1
job,money,-1,0
job,stable,-1,0
job,grind,-1,-1
theorem,proof,1,1
theorem,math,1,1
theorem,elegant,1,1
failure,lesson,-1,0
failure,defeat,-1,-1
failure,retry,-1,0
class,learn,0,1
class,homework,0,-1
class,peer,0,-1
physics,quantum,1,1
physics,law,1,1
physics,universe,1,1
variable,control,0,0
variable,independent,0,0
variable,x,0,0
success,achievement,1,1
success,joy,1,1
success,goal,1,1
society,progress,-1,0
society,rule,-1,-1
society,change,-1,-1
creativity,idea,0,1
creativity,innovation,0,1
creativity,art,0,-1
classroom,teacher,-1,0
classroom,desk,-1,-1
classroom,discussion,-1,-1
logic,reason,1,1
logic,puzzle,1,0
logic,true,1,1
teamwork,collaboration,-1,-1
teamwork,help,-1,0
teamwork,conflict,-1,-1
model,simulation,1,0
model,predict,1,0
model,fit,1,0
experiment,hypothesis,1,1
experiment,lab,1,0
experiment,result,1,1
number,precise,1,1
number,calculate,1,0
number,math,1,1
informatic,algorithm,1,1
informatic,code,1,1
informatic,computer,1,1
teacher,mentor,0,1
teacher,classroom,0,-1
teacher,authority,0,-1
professor,expert,1,1
professor,research,1,1
professor,lecture,1,-1
chemistry,lab,0,0
chemistry,reaction,0,0
chemistry,element,0,1
music,melody,-1,0
music,instrument,-1,-1
music,concert,-1,-1
student,learner,-1,0
student,peer,-1,0
student,exam,-1,-1
homework,tedious,-1,-1
homework,deadline,-1,-1
homework,assignment,-1,-1
philosophy,logic,-1,1
philosophy,ethic,-1,0
philosophy,abstract,-1,-1
llm,chatbot,0,0
llm,helpful,0,1
llm,generate,0,0
scientist,discovery,1,1
scientist,experiment,1,1
scientist,lab,1,0
proof,theorem,1,1
proof,logic,1,1
proof,rigorous,1,0
biology,dna,0,1
biology,cell,0,0
biology,evolution,0,0
blackboard,chalk,-1,-1
blackboard,equation,-1,1
blackboard,teach,-1,0
computation,code,1,1
computation,algorithm,1,1
computation,efficient,1,1
study,learn,0,1
study,note,0,-1
study,read,0,-1
history,war,-1,-1
history,date,-1,-1
history,king,-1,-1
exam,stress,-1,-1
exam,grade,-1,-1
exam,prepare,-1,-1
ai,learn,1,1
ai,future,1,1
ai,machine,1,0
equation,solve,1,0
equation,math,1,1
equation,balance,1,0
algorithm,optimize,1,1
algorithm,program,1,1
algorithm,step,1,-1
problem - solve,puzzle,1,0
problem - solve,logic,1,1
problem - solve,success,1,1
stem,science,1,1
stem,tech,1,1
stem,math,1,1
future,progress,0,1
future,tech,0,1
future,tomorrow,0,-1
science,experiment,1,1
science,theory,1,0
science,fact,1,1
literature,novel,-1,-1
literature,poetry,-1,-1
literature,analysis,-1,-1
mathematic,geometry,1,1
mathematic,calculus,1,1
mathematic,number,1,0
