cue_word,association_word,cue_valence,associated_valence
science,physics,0,1
science,maths,0,1
science,discovery,0,0
ai,future,0,1
ai,technology,0,0
ai,complex,0,-1
informatic,computer,-1,-1
informatic,datum,-1,-1
informatic,cod,-1,-1
grade,exam,-1,-1
grade,stress,-1,-1
grade,result,-1,-1
scientist,intelligent,0,1
scientist,research,0,0
scientist,curious,0,0
homework,study,-1,-1
homework,boredom,-1,-1
homework,time - consume,-1,-1
work,effort,-1,-1
work,achievement,-1,0
work,tiring,-1,-1
success,happy,1,1
success,proud,1,1
success,rewarding,1,1
computation,maths,-1,1
computation,logic,-1,0
computation,calculation,-1,-1
stem,science,0,0
stem,technology,0,0
stem,engineering,0,-1
classroom,learn,-1,0
classroom,teacher,-1,0
classroom,student,-1,-1
chemistry,experiment,-1,-1
chemistry,reaction,-1,-1
chemistry,difficult,-1,-1
problem - solve,challenge,0,-1
problem - solve,think,0,0
problem - solve,solution,0,1
blackboard,lecture,-1,-1
blackboard,note,-1,-1
blackboard,chalk,-1,-1
lecture,teacher,-1,0
lecture,note,-1,-1
lecture,attention,-1,-1
biology,life,-1,0
biology,cell,-1,-1
biology,bore,-1,-1
mathematic,number,1,0
mathematic,logic,1,0
mathematic,difficult,1,-1
teacher,knowledge,0,1
teacher,helpful,0,0
teacher,strict,0,-1
anxiety,stress,-1,-1
anxiety,worry,-1,-1
anxiety,nervous,-1,-1
career,success,0,1
career,future,0,0
career,ambition,0,0
creativity,art,0,0
creativity,music,0,1
creativity,innovation,0,0
chatgpt,ai,0,0
chatgpt,helpful,0,0
chatgpt,technology,0,0
llm,ai,-1,0
llm,learn,-1,0
llm,model,-1,-1
datum,information,-1,0
datum,analysis,-1,-1
datum,number,-1,0
music,classical,1,1
music,relaxation,1,1
music,enjoyment,1,1
physics,maths,1,1
physics,formula,1,0
physics,law,1,0
knowledge,learn,1,1
knowledge,wisdom,1,1
knowledge,understand,1,1
philosophy,think,0,0
philosophy,ethic,0,0
philosophy,mean,0,0
class,lecture,0,0
class,student,0,0
class,learn,0,1
study,learn,0,1
study,book,0,0
study,focus,0,0
logic,reasoning,1,1
logic,maths,1,1
logic,proof,1,1
exam,test,-1,-1
exam,stress,-1,-1
exam,grade,-1,0
future,hope,0,1
future,uncertainty,0,-1
future,plan,0,0
model,theory,0,0
model,simulation,0,0
model,maths,0,1
history,past,0,0
history,event,0,0
history,learn,0,1
art,creativity,0,1
art,expression,0,1
art,beauty,0,1
professor,teacher,0,0
professor,lecture,0,0
professor,knowledge,0,1
job,work,0,0
job,career,0,0
job,money,0,0
society,people,0,0
society,community,0,0
society,culture,0,0
theorem,proof,1,1
theorem,maths,1,1
theorem,logic,1,1
experiment,science,0,0
experiment,test,0,-1
experiment,result,0,0
algorithm,maths,0,1
algorithm,code,0,0
algorithm,solution,0,0
proof,logic,1,1
proof,maths,1,1
proof,theorem,1,1
variable,maths,0,1
variable,unknown,0,-1
variable,equation,0,0
student,learn,0,1
student,class,0,0
student,study,0,0
failure,mistake,-1,-1
failure,loss,-1,-1
failure,disappointment,-1,-1
literature,book,0,0
literature,read,0,0
literature,story,0,0
equation,maths,0,1
equation,solution,0,0
equation,number,0,0
teamwork,collaboration,0,0
teamwork,group,0,0
teamwork,project,0,0
number,maths,0,1
number,count,0,0
number,datum,0,0
