cue_word,association_word,cue_valence,associated_valence
future,hope,0,1
future,opportunity,0,1
future,unknown,0,-1
exam,stress,-1,-1
exam,preparation,-1,-1
exam,result,-1,-1
failure,defeat,-1,-1
failure,lesson,-1,0
failure,setback,-1,-1
scientist,lab,0,-1
scientist,discovery,0,1
scientist,experiment,0,0
chemistry,reaction,0,-1
chemistry,molecule,0,-1
chemistry,lab,0,-1
creativity,imagination,1,1
creativity,innovation,1,1
creativity,art,1,1
lecture,professor,-1,0
lecture,note,-1,-1
lecture,boredom,-1,-1
chatgpt,ai,1,0
chatgpt,conversation,1,0
chatgpt,helpful,1,1
job,career,-1,0
job,salary,-1,0
job,stress,-1,-1
literature,book,1,0
literature,story,1,0
literature,poetry,1,1
biology,cell,0,-1
biology,evolution,0,0
biology,life,0,1
philosophy,wisdom,0,1
philosophy,ethic,0,0
philosophy,think,0,0
algorithm,code,0,-1
algorithm,efficiency,0,1
algorithm,logic,0,0
blackboard,chalk,-1,-1
blackboard,teach,-1,0
blackboard,math,-1,0
student,learn,0,1
student,school,0,-1
student,youth,0,0
history,past,0,-1
history,event,0,-1
history,timeline,0,-1
equation,solve,-1,0
equation,variable,-1,-1
equation,balance,-1,0
grade,score,-1,-1
grade,a,-1,1
grade,performance,-1,0
art,beauty,1,1
art,expression,1,0
art,creativity,1,1
ai,intelligence,0,1
ai,machine,0,-1
ai,learn,0,1
mathematic,number,0,-1
mathematic,proof,0,0
mathematic,logic,0,0
experiment,hypothesis,0,-1
experiment,result,0,0
experiment,lab,0,-1
success,achievement,1,1
success,victory,1,1
success,goal,1,0
informatic,programming,0,0
informatic,datum,0,-1
informatic,computer,0,0
anxiety,fear,-1,-1
anxiety,worry,-1,-1
anxiety,stress,-1,-1
class,lesson,0,0
class,student,0,0
class,lecture,0,-1
physics,force,1,0
physics,energy,1,1
physics,quantum,1,0
model,theory,0,0
model,simulation,0,0
model,predict,0,0
teacher,mentor,1,1
teacher,educator,1,1
teacher,guide,1,1
stem,science,1,1
stem,technology,1,1
stem,engineering,1,1
career,job,0,-1
career,profession,0,0
career,ambition,0,0
theorem,proof,1,1
theorem,axiom,1,0
theorem,lemma,1,0
professor,expert,1,1
professor,academic,1,1
professor,phd,1,1
work,effort,-1,-1
work,job,-1,-1
work,productivity,-1,0
study,learn,0,1
study,research,0,1
study,read,0,0
number,math,0,1
number,count,0,-1
number,digit,0,-1
computation,algorithm,0,1
computation,calculate,0,0
computation,computer,0,1
society,community,0,0
society,culture,0,0
society,progress,0,1
teamwork,collaboration,1,1
teamwork,team,1,1
teamwork,cooperate,1,0
llm,ai,1,1
llm,language,1,0
llm,chatbot,1,0
proof,evidence,1,1
proof,verify,1,1
proof,theorem,1,1
problem - solve,puzzle,1,0
problem - solve,solution,1,1
problem - solve,strategy,1,0
knowledge,wisdom,1,1
knowledge,information,1,0
knowledge,expertise,1,1
logic,reason,1,1
logic,deduction,1,1
logic,argument,1,0
variable,parameter,0,0
variable,unknown,0,-1
variable,equation,0,0
homework,assignment,-1,-1
homework,task,-1,-1
homework,study,-1,0
datum,information,0,0
datum,statistic,0,0
datum,analysis,0,0
science,experiment,1,1
science,hypothesis,1,0
science,discovery,1,1
classroom,board,0,-1
classroom,desk,0,-1
classroom,learn,0,1
music,melody,1,1
music,rhythm,1,1
music,harmony,1,1
