cue_word,association_word,cue_valence,associated_valence
grade,score,-1,-1
grade,school,-1,0
grade,test,-1,-1
ai,intelligence,0,1
ai,robot,0,-1
ai,machine,0,-1
professor,teacher,0,0
professor,expert,0,1
professor,lecture,0,-1
future,tomorrow,0,0
future,hope,0,1
future,unknown,0,-1
work,job,-1,-1
work,effort,-1,0
work,career,-1,0
computation,calculate,0,-1
computation,computer,0,0
computation,math,0,0
science,experiment,1,0
science,discovery,1,1
science,lab,1,0
number,math,-1,0
number,count,-1,-1
number,datum,-1,0
society,community,0,0
society,people,0,0
society,culture,0,0
study,learn,0,1
study,read,0,0
study,exam,0,-1
art,paint,1,1
art,beauty,1,1
art,creative,1,1
anxiety,fear,-1,-1
anxiety,stress,-1,-1
anxiety,worry,-1,-1
teacher,educate,0,0
teacher,class,0,-1
teacher,student,0,-1
history,past,0,-1
history,event,0,-1
history,learn,0,1
teamwork,collaborate,0,1
teamwork,team,0,0
teamwork,group,0,-1
variable,change,-1,-1
variable,math,-1,0
variable,unknown,-1,-1
philosophy,think,0,0
philosophy,wisdom,0,1
philosophy,question,0,-1
creativity,imagine,1,1
creativity,idea,1,1
creativity,art,1,1
informatic,computer,0,0
informatic,datum,0,0
informatic,info,0,0
algorithm,code,0,0
algorithm,step,0,-1
algorithm,solve,0,1
student,learn,0,1
student,school,0,0
student,study,0,0
biology,life,0,1
biology,cell,0,-1
biology,nature,0,1
music,song,1,1
music,melody,1,1
music,joy,1,1
career,job,0,-1
career,success,0,1
career,path,0,0
literature,book,1,0
literature,story,1,0
literature,read,1,0
classroom,teacher,0,0
classroom,student,0,0
classroom,learn,0,1
scientist,lab,1,0
scientist,research,1,1
scientist,discovery,1,1
problem - solve,puzzle,1,0
problem - solve,solution,1,1
problem - solve,skill,1,1
failure,mistake,-1,-1
failure,lesson,-1,0
failure,defeat,-1,-1
lecture,professor,0,0
lecture,note,0,-1
lecture,knowledge,0,1
stem,science,1,1
stem,technology,1,1
stem,innovation,1,1
class,lesson,0,0
class,attendance,0,-1
class,grade,0,-1
mathematic,number,0,-1
mathematic,algebra,0,0
mathematic,proof,0,0
blackboard,chalk,-1,-1
blackboard,equation,-1,0
blackboard,teach,-1,0
job,career,0,1
job,salary,0,0
job,work,0,-1
success,achievement,1,1
success,goal,1,1
success,reward,1,1
equation,solve,0,0
equation,variable,0,-1
equation,balance,0,0
theorem,proof,1,1
theorem,axiom,1,0
theorem,logic,1,1
chemistry,lab,1,0
chemistry,reaction,1,0
chemistry,element,1,0
knowledge,wisdom,1,1
knowledge,fact,1,0
knowledge,learn,1,1
chatgpt,ai,0,0
chatgpt,assistant,0,0
chatgpt,answer,0,0
exam,test,-1,-1
exam,stress,-1,-1
exam,score,-1,-1
homework,assignment,-1,-1
homework,study,-1,0
homework,deadline,-1,-1
logic,reasoning,1,1
logic,deduction,1,1
logic,puzzle,1,0
physics,force,1,0
physics,motion,1,0
physics,energy,1,1
llm,ai,0,0
llm,language,0,0
llm,prediction,0,0
model,train,0,0
model,predict,0,0
model,fit,0,0
experiment,hypothesis,1,0
experiment,test,1,0
experiment,result,1,0
proof,evidence,1,0
proof,theorem,1,1
proof,logic,1,1
datum,analysis,0,0
datum,statistic,0,0
datum,collection,0,-1
