cue_word,association_word,cue_valence,associated_valence
stem,physics,0,0
stem,biology,0,0
stem,science,0,0
philosophy,logic,-1,0
philosophy,think,-1,-1
philosophy,ethic,-1,-1
classroom,lecture,-1,-1
classroom,exam,-1,-1
classroom,grade,-1,-1
knowledge,learn,0,0
knowledge,understand,0,0
knowledge,wisdom,0,0
informatic,computation,0,0
informatic,algorithm,0,0
informatic,datum,0,0
logic,reasoning,0,0
logic,proof,0,0
logic,theorem,0,0
ai,algorithm,0,0
ai,computation,0,0
ai,future,0,0
job,work,0,0
job,career,0,0
job,success,0,0
algorithm,computation,0,0
algorithm,informatic,0,0
algorithm,ai,0,0
proof,logic,0,0
proof,theorem,0,0
proof,mathematic,0,0
lecture,classroom,-1,-1
lecture,learn,-1,0
lecture,teacher,-1,0
exam,classroom,-1,-1
exam,grade,-1,-1
exam,anxiety,-1,-1
science,physics,0,0
science,biology,0,0
science,stem,0,0
equation,mathematic,-1,-1
equation,number,-1,-1
equation,solution,-1,0
art,paint,0,0
art,creativity,0,0
art,expression,0,0
grade,exam,-1,-1
grade,classroom,-1,-1
grade,performance,-1,-1
chatgpt,ai,0,0
chatgpt,algorithm,0,0
chatgpt,informatic,0,0
theorem,logic,0,0
theorem,proof,0,0
theorem,mathematic,0,-1
number,mathematic,-1,-1
number,equation,-1,-1
number,computation,-1,0
computation,algorithm,0,0
computation,informatic,0,0
computation,ai,0,0
success,job,0,0
success,career,0,0
success,achievement,0,0
variable,mathematic,-1,-1
variable,equation,-1,-1
variable,solution,-1,0
anxiety,exam,-1,-1
anxiety,stress,-1,-1
anxiety,pressure,-1,-1
literature,read,-1,0
literature,novel,-1,0
literature,history,-1,-1
study,learn,0,0
study,knowledge,0,0
study,exam,0,-1
class,school,-1,0
class,teacher,-1,0
class,learn,-1,0
scientist,research,0,0
scientist,discovery,0,0
scientist,lab,0,0
creativity,art,0,0
creativity,innovation,0,0
creativity,music,0,0
llm,learn,0,0
llm,machine,0,-1
llm,datum,0,0
professor,teacher,0,0
professor,lecture,0,-1
professor,knowledge,0,0
music,classical,0,0
music,paint,0,0
music,relaxation,0,0
failure,mistake,-1,-1
failure,learn,-1,0
failure,disappointment,-1,-1
problem - solve,logic,0,0
problem - solve,mathematic,0,0
problem - solve,physics,0,0
model,simulation,0,0
model,prediction,0,0
model,datum,0,0
student,learn,0,0
student,homework,0,-1
student,teacher,0,0
mathematic,physics,0,0
mathematic,logic,0,0
mathematic,problem - solve,0,0
teamwork,collaboration,0,0
teamwork,communication,0,0
teamwork,success,0,0
history,past,-1,-1
history,event,-1,-1
history,learn,-1,0
future,hope,0,0
future,technology,0,0
future,progress,0,0
datum,information,0,0
datum,analysis,0,0
datum,model,0,0
homework,study,-1,0
homework,learn,-1,0
homework,teacher,-1,0
teacher,class,0,-1
teacher,learn,0,0
teacher,knowledge,0,0
society,people,-1,-1
society,community,-1,0
society,culture,-1,0
chemistry,experiment,0,0
chemistry,reaction,0,0
chemistry,lab,0,0
biology,life,0,0
biology,cell,0,0
biology,physics,0,0
career,work,0,0
career,success,0,0
career,growth,0,0
experiment,science,0,0
experiment,discovery,0,0
experiment,lab,0,0
blackboard,class,-1,-1
blackboard,teacher,-1,0
blackboard,learn,-1,0
work,job,0,0
work,career,0,0
work,effort,0,0
physics,mathematic,0,0
physics,problem - solve,0,0
physics,biology,0,0
