cue_word,association_word,cue_valence,associated_valence
study,learn,0,1
study,knowledge,0,0
job,work,0,0
job,career,0,0
theorem,proof,0,0
theorem,solution,0,1
teamwork,collaboration,0,1
teamwork,cooperation,0,1
variable,factor,0,0
variable,element,0,-1
philosophy,think,0,1
philosophy,wisdom,0,0
science,research,0,1
science,experiment,0,1
professor,teacher,0,1
professor,mentor,0,0
datum,information,0,0
datum,analysis,0,0
career,job,0,0
career,goal,0,0
student,learner,0,1
student,scholar,0,1
experiment,testing,0,0
experiment,research,0,1
success,achievement,0,1
success,accomplishment,0,1
equation,formula,0,0
equation,mathematical,0,0
teacher,educator,1,1
teacher,mentor,1,1
chatgpt,ai,0,0
chatgpt,assistant,0,0
blackboard,chalk,0,-1
blackboard,write,0,0
mathematic,number,1,1
mathematic,equation,1,1
future,hope,0,1
future,possibility,0,1
anxiety,stress,-1,0
anxiety,worry,-1,0
ai,machine,0,0
ai,intelligence,0,1
history,past,0,0
history,event,0,0
chemistry,element,0,0
chemistry,reaction,0,0
work,duty,0,0
work,task,0,0
physics,law,0,0
physics,force,0,0
knowledge,understand,0,0
knowledge,information,0,0
knowledge,learn,0,1
algorithm,process,1,0
algorithm,method,1,0
algorithm,formula,1,0
society,community,1,0
society,culture,1,0
society,relationship,1,0
problem - solve,analysis,1,0
problem - solve,strategy,1,0
problem - solve,solution,1,0
class,group,1,0
class,school,1,0
class,education,1,0
grade,score,0,0
grade,rating,0,0
grade,mark,0,0
lecture,presentation,0,0
lecture,explanation,0,0
lecture,discussion,0,0
failure,mistake,-1,-1
failure,error,-1,-1
failure,defeat,-1,-1
proof,evidence,1,0
proof,verification,1,0
proof,demonstration,1,0
scientist,researcher,1,0
scientist,expert,1,0
scientist,investigator,1,0
music,sound,1,0
music,melody,1,0
music,art,1,-1
creativity,imagination,1,0
creativity,innovation,1,0
creativity,expression,1,0
classroom,learn,1,0
classroom,education,1,0
classroom,instruction,1,-1
homework,assignment,-1,-1
homework,task,-1,-1
homework,practice,-1,0
biology,life,0,0
biology,science,0,0
biology,nature,0,0
stem,mathematic,1,0
stem,technology,1,0
stem,engineering,1,-1
literature,book,0,0
literature,write,0,0
literature,storytelle,0,0
computation,calculation,1,0
computation,logic,1,0
computation,processing,1,0
art,creativity,0,0
art,visual,0,0
art,aesthetic,0,-1
llm,language,0,0
llm,learn,0,0
llm,machine,0,0
logic,reasoning,1,0
logic,deduction,1,0
logic,analysis,1,0
number,mathematic,0,0
number,figure,0,0
number,quantity,0,0
model,representation,1,0
model,example,1,0
model,framework,1,-1
exam,assessment,0,0
exam,test,0,0
exam,evaluation,0,0
informatic,compute,0,0
informatic,datum,0,0
informatic,information,0,-1
