cue_word,association_word,cue_valence,associated_valence
anxiety,stress,-1,-1
anxiety,nervous,-1,-1
anxiety,worry,-1,-1
physics,difficult,0,-1
physics,formula,0,0
physics,exam,0,-1
classroom,learn,0,0
classroom,teacher,0,0
classroom,friend,0,1
ai,technology,0,0
ai,future,0,0
ai,learn,0,0
study,focus,0,0
study,exam,0,-1
study,knowledge,0,0
success,achievement,1,1
success,happy,1,1
success,career,1,0
datum,information,0,0
datum,analysis,0,0
datum,computer,0,0
work,effort,0,0
work,job,0,0
work,study,0,0
knowledge,learn,1,0
knowledge,wisdom,1,1
knowledge,education,1,0
homework,study,-1,0
homework,assignment,-1,-1
homework,exam,-1,-1
experiment,science,0,0
experiment,discovery,0,0
experiment,lab,0,0
stem,science,0,0
stem,technology,0,0
stem,engineering,0,0
art,creativity,0,0
art,paint,0,0
art,music,0,0
logic,reasoning,0,0
logic,math,0,0
logic,problem,0,0
society,people,0,0
society,community,0,0
society,culture,0,0
model,design,0,0
model,science,0,0
model,math,0,0
future,hope,0,0
future,technology,0,0
future,career,0,0
proof,math,0,0
proof,evidence,0,0
proof,logic,0,0
chemistry,experiment,-1,0
chemistry,reaction,-1,0
chemistry,formula,-1,-1
teacher,learn,0,0
teacher,knowledge,0,0
teacher,classroom,0,0
failure,mistake,-1,-1
failure,disappointment,-1,-1
failure,learn,-1,0
class,student,0,0
class,teacher,0,0
class,learn,0,0
chatgpt,ai,0,0
chatgpt,assistant,0,0
chatgpt,learn,0,0
career,job,0,0
career,success,0,1
career,future,0,0
literature,book,-1,0
literature,read,-1,0
literature,story,-1,0
scientist,research,0,0
scientist,discovery,0,1
scientist,curiosity,0,1
history,past,0,0
history,event,0,0
history,learn,0,1
blackboard,class,0,0
blackboard,teach,0,0
blackboard,note,0,0
science,experiment,1,0
science,knowledge,1,1
science,innovation,1,1
philosophy,think,0,0
philosophy,ethic,0,0
philosophy,wisdom,0,1
computation,math,0,0
computation,logic,0,0
computation,cod,0,0
llm,learn,0,0
llm,model,0,0
llm,datum,0,0
problem - solve,challenge,0,0
problem - solve,solution,0,1
problem - solve,logic,0,0
music,harmony,1,1
music,melody,1,1
music,rhythm,1,1
job,work,0,0
job,career,0,0
job,employment,0,0
student,learn,0,1
student,education,0,0
student,study,0,0
theorem,proof,0,0
theorem,math,0,0
theorem,logic,0,0
biology,life,0,1
biology,cell,0,0
biology,nature,0,1
number,math,0,0
number,count,0,0
number,datum,0,0
equation,math,0,0
equation,solution,0,0
equation,variable,0,0
creativity,art,1,1
creativity,innovation,1,1
creativity,imagination,1,1
exam,test,-1,-1
exam,study,-1,0
exam,stress,-1,-1
teamwork,collaboration,0,0
teamwork,group,0,0
teamwork,communication,0,0
grade,score,0,0
grade,performance,0,0
grade,evaluation,0,0
lecture,class,0,0
lecture,teach,0,0
lecture,learn,0,1
professor,teacher,0,0
professor,knowledge,0,1
professor,lecture,0,0
variable,math,0,0
variable,unknown,0,-1
variable,solution,0,0
algorithm,code,0,0
algorithm,logic,0,0
algorithm,solution,0,0
informatic,computer,0,0
informatic,datum,0,0
informatic,technology,0,0
mathematic,number,0,0
mathematic,logic,0,0
mathematic,problem,0,0
