cue_word,association_word,cue_valence,associated_valence
informatic,datum,0,0
informatic,algorithm,0,-1
informatic,system,0,-1
failure,error,-1,-1
failure,mistake,-1,-1
failure,loss,-1,-1
mathematic,proof,0,-1
mathematic,theorem,0,0
mathematic,equation,0,-1
proof,logic,0,0
proof,evidence,0,0
proof,demonstration,0,-1
science,experiment,1,0
science,discovery,1,1
science,research,1,0
history,past,-1,-1
history,culture,-1,0
history,event,-1,-1
literature,story,0,0
literature,poetry,0,1
literature,narrative,0,-1
job,career,-1,0
job,work,-1,-1
job,salary,-1,-1
grade,score,-1,-1
grade,evaluation,-1,-1
grade,performance,-1,0
class,student,-1,-1
class,teacher,-1,0
class,learn,-1,1
anxiety,stress,-1,-1
anxiety,fear,-1,-1
anxiety,nervousness,-1,-1
blackboard,classroom,-1,0
blackboard,chalk,-1,-1
blackboard,lesson,-1,0
knowledge,learn,1,1
knowledge,wisdom,1,1
knowledge,information,1,0
variable,parameter,-1,-1
variable,constant,-1,-1
variable,factor,-1,-1
work,job,-1,-1
work,effort,-1,0
work,task,-1,-1
professor,teacher,0,0
professor,expert,0,1
professor,lecture,0,-1
datum,information,0,0
datum,statistic,0,-1
datum,analysis,0,0
creativity,innovation,1,1
creativity,imagination,1,1
creativity,design,1,0
theorem,proof,0,0
theorem,mathematic,0,0
theorem,logic,0,0
llm,ai,1,1
llm,model,1,0
llm,language,1,0
career,job,0,-1
career,profession,0,0
career,growth,0,1
experiment,science,0,1
experiment,test,0,-1
experiment,research,0,0
chemistry,science,0,1
chemistry,reaction,0,-1
chemistry,element,0,-1
future,career,1,0
future,innovation,1,1
future,progress,1,1
chatgpt,ai,1,1
chatgpt,language,1,0
chatgpt,model,1,0
number,math,0,1
number,calculus,0,-1
number,arithmetic,0,0
biology,cell,0,0
biology,evolution,0,-1
biology,genetic,0,1
classroom,learn,0,1
classroom,education,0,1
classroom,student,0,-1
teacher,mentor,1,0
teacher,education,1,1
teacher,guidance,1,0
stem,science,0,1
stem,technology,0,1
stem,engineering,0,0
equation,math,-1,1
equation,solution,-1,0
equation,logic,-1,0
society,community,-1,0
society,culture,-1,0
society,progress,-1,1
exam,test,-1,-1
exam,evaluation,-1,-1
exam,stress,-1,-1
lecture,education,0,1
lecture,learn,0,1
lecture,speaker,0,-1
scientist,research,1,0
scientist,discovery,1,1
scientist,innovation,1,1
model,simulation,-1,-1
model,theory,-1,0
model,design,-1,0
teamwork,collaboration,1,1
teamwork,cooperation,1,1
teamwork,synergy,1,0
art,creativity,1,1
art,expression,1,0
art,aesthetic,1,0
ai,technology,-1,1
ai,innovation,-1,1
ai,intelligence,-1,0
study,learn,0,1
study,research,0,0
study,education,0,1
music,melody,1,0
music,harmony,1,0
music,creativity,1,1
problem - solve,logic,0,0
problem - solve,solution,0,0
problem - solve,innovation,0,1
philosophy,think,-1,0
philosophy,wisdom,-1,1
philosophy,ethic,-1,0
success,achievement,1,1
success,goal,1,0
success,victory,1,1
computation,algorithm,-1,0
computation,calculation,-1,-1
computation,datum,-1,0
homework,study,-1,0
homework,task,-1,-1
homework,learn,-1,1
physics,science,0,1
physics,law,0,0
physics,energy,0,-1
logic,reasoning,0,0
logic,math,0,1
logic,problem - solve,0,0
student,learn,-1,1
student,education,-1,1
student,study,-1,0
algorithm,computation,0,-1
algorithm,logic,0,0
algorithm,datum,0,0
