cue_word,association_word,cue_valence,associated_valence
history,past,0,0
history,event,0,-1
history,learn,0,1
experiment,science,0,1
experiment,discovery,0,1
experiment,risk,0,-1
informatic,computer,-1,0
informatic,datum,-1,0
informatic,technology,-1,0
student,learn,1,1
student,school,1,0
student,knowledge,1,1
philosophy,think,1,1
philosophy,question,1,0
philosophy,mean,1,0
anxiety,stress,-1,-1
anxiety,worry,-1,-1
anxiety,nervous,-1,-1
study,learn,1,1
study,book,1,0
study,focus,1,0
model,design,0,0
model,representation,0,0
model,simulation,0,0
teacher,learn,1,1
teacher,guidance,1,1
teacher,knowledge,1,1
scientist,research,1,1
scientist,discovery,1,1
scientist,experiment,1,0
failure,mistake,-1,-1
failure,loss,-1,-1
failure,disappointment,-1,-1
computation,calculation,-1,-1
computation,algorithm,-1,-1
computation,datum,-1,0
mathematic,number,-1,-1
mathematic,logic,-1,0
mathematic,problem,-1,-1
algorithm,code,0,0
algorithm,logic,0,0
algorithm,solution,0,0
datum,information,0,0
datum,analysis,0,0
datum,statistic,0,-1
work,job,0,0
work,effort,0,0
work,productivity,0,0
chatgpt,ai,0,0
chatgpt,assistant,0,0
chatgpt,technology,0,0
theorem,proof,-1,0
theorem,mathematic,-1,-1
theorem,logic,-1,0
future,hope,0,1
future,progress,0,1
future,uncertainty,0,-1
knowledge,learn,1,1
knowledge,education,1,1
knowledge,understand,1,1
science,research,1,1
science,discovery,1,1
science,experiment,1,0
ai,technology,0,0
ai,future,0,0
ai,intelligence,0,1
art,creativity,1,1
art,expression,1,1
art,beauty,1,1
exam,test,-1,-1
exam,stress,-1,-1
exam,evaluation,-1,-1
biology,life,1,1
biology,science,1,1
biology,nature,1,1
number,math,-1,-1
number,count,-1,-1
chemistry,reaction,0,0
chemistry,element,0,0
classroom,learn,0,0
classroom,student,0,0
teamwork,collaboration,1,1
teamwork,cooperation,1,1
stem,science,0,0
stem,technology,0,0
variable,change,-1,-1
variable,unknown,-1,-1
physics,law,-1,-1
physics,mechanic,-1,-1
logic,reasoning,0,0
logic,structure,0,0
society,people,0,0
society,community,0,0
proof,evidence,0,0
proof,validation,0,0
grade,school,-1,-1
grade,performance,-1,-1
professor,teacher,0,0
professor,lecturer,0,0
music,melody,1,1
music,rhythm,1,1
literature,book,1,1
literature,write,1,1
equation,math,-1,-1
equation,solution,-1,-1
job,work,0,0
job,career,0,0
creativity,innovation,1,1
creativity,imagination,1,1
problem - solve,challenge,1,1
problem - solve,solution,1,1
lecture,teach,0,0
lecture,learn,0,0
blackboard,write,-1,-1
blackboard,teach,-1,-1
success,achievement,1,1
success,goal,1,1
career,job,0,0
career,growth,0,0
homework,school,-1,-1
homework,study,-1,-1
llm,law,-1,-1
llm,degree,-1,-1
class,student,0,0
class,learn,0,0
