cue_word,association_word,cue_valence,associated_valence
homework,stress,-1,-1
homework,deadline,-1,-1
homework,study,-1,0
llm,technology,0,-1
llm,intelligent,0,0
llm,programming,0,0
student,university,-1,0
student,class,-1,-1
student,grade,-1,-1
biology,cell,-1,0
biology,genetic,-1,-1
biology,laboratory,-1,-1
blackboard,chalk,-1,0
blackboard,write,-1,-1
blackboard,classroom,-1,0
stem,science,0,0
stem,engineering,0,-1
stem,mathematic,0,0
job,career,-1,0
job,work,-1,-1
job,salary,-1,-1
datum,information,-1,0
datum,analysis,-1,-1
datum,statistic,-1,0
physics,equation,-1,0
physics,law,-1,-1
physics,experiment,-1,-1
art,creativity,0,0
art,paint,0,0
art,expression,0,0
exam,test,-1,-1
exam,pressure,-1,-1
exam,result,-1,-1
ai,intelligence,0,0
ai,algorithm,0,-1
ai,learn,0,0
teamwork,collaboration,0,0
teamwork,communication,0,0
teamwork,support,0,0
informatic,computer,-1,0
informatic,software,-1,0
informatic,network,-1,-1
knowledge,understand,0,0
knowledge,learn,0,0
knowledge,wisdom,0,0
success,achievement,0,0
success,goal,0,-1
success,progress,0,0
theorem,proof,0,0
theorem,mathematic,0,0
theorem,logic,0,0
failure,mistake,-1,-1
failure,error,-1,-1
failure,recovery,-1,-1
variable,unknown,-1,-1
variable,change,-1,-1
variable,function,-1,0
logic,reasoning,0,0
logic,deduction,0,0
logic,truth,0,0
equation,math,0,0
equation,solution,0,0
equation,problem,0,-1
philosophy,question,-1,0
philosophy,think,-1,0
philosophy,idea,-1,0
anxiety,fear,-1,-1
anxiety,worry,-1,-1
anxiety,stress,-1,-1
music,song,0,0
music,rhythm,0,-1
music,emotion,0,0
future,hope,-1,0
future,potential,-1,0
future,challenge,-1,-1
professor,knowledge,0,0
professor,teach,0,0
professor,mentorship,0,0
model,simulation,0,-1
model,representation,0,0
model,predictive,0,0
career,growth,0,0
career,stability,0,0
career,challenge,0,-1
number,datum,-1,0
number,statistic,-1,0
number,quantitative,-1,-1
experiment,testing,0,0
experiment,result,0,0
experiment,hypothesis,0,-1
computation,calculation,0,0
computation,processing,0,0
computation,algorithm,0,0
grade,score,-1,0
grade,performance,-1,0
grade,achievement,-1,0
work,effort,0,0
work,productivity,0,0
work,task,0,0
history,past,0,-1
history,event,0,0
history,context,0,0
scientist,research,0,0
scientist,discovery,0,0
scientist,innovation,0,0
classroom,learn,0,0
classroom,discipline,0,0
classroom,interaction,0,0
class,group,0,0
class,student,0,0
class,academic,0,0
study,research,0,0
study,read,0,0
study,analysis,0,0
lecture,presentation,0,0
lecture,content,0,0
lecture,knowledge,0,0
creativity,imagination,0,0
creativity,innovation,0,0
creativity,art,0,0
literature,book,0,0
literature,story,0,0
literature,read,0,0
society,community,0,0
society,culture,0,0
society,influence,0,0
teacher,guidance,0,0
teacher,support,0,0
teacher,education,0,0
mathematic,logic,0,0
mathematic,problem - solve,0,0
mathematic,proof,0,0
chemistry,reaction,0,0
chemistry,molecule,0,0
chemistry,lab,0,0
proof,logic,0,0
proof,rigor,0,0
proof,validity,0,0
algorithm,step - by - step,0,0
algorithm,process,0,0
algorithm,code,0,0
problem - solve,strategy,0,0
problem - solve,solution,0,0
problem - solve,critical,0,0
science,discovery,0,0
science,experimentation,0,0
science,knowledge,0,0
chatgpt,ai,0,0
chatgpt,technology,0,0
chatgpt,helpful,0,0
