cue_word,association_word,cue_valence,associated_valence
exam,test,0,0
exam,stress,0,-1
student,learn,0,1
student,youth,0,0
study,book,0,0
study,focus,0,0
llm,ai,0,0
llm,language,0,1
classroom,teach,0,0
classroom,learn,0,1
variable,change,0,0
variable,math,0,0
chemistry,science,0,0
chemistry,react,0,0
ai,machine,0,0
ai,learn,0,1
knowledge,wise,1,1
knowledge,learn,1,1
algorithm,code,0,0
algorithm,solve,0,0
teamwork,collaborate,1,1
teamwork,support,1,1
computation,calculate,0,0
computation,datum,0,0
equation,math,0,0
equation,solve,0,0
failure,loss,-1,-1
failure,learn,-1,1
lecture,teach,0,0
lecture,listen,0,0
experiment,test,0,0
experiment,discover,0,1
job,work,0,0
job,career,0,0
grade,score,0,0
grade,evaluate,0,0
chatgpt,ai,0,0
chatgpt,chat,0,0
anxiety,stress,-1,-1
anxiety,worry,-1,-1
logic,reason,0,0
logic,think,0,0
work,job,0,0
work,effort,0,0
theorem,math,0,0
theorem,prove,0,0
teacher,educate,1,1
teacher,guide,1,1
stem,science,0,0
stem,tech,0,0
datum,information,0,0
datum,analysis,0,0
datum,insight,0,0
scientist,research,1,0
scientist,discovery,1,1
scientist,experiment,1,0
physics,energy,0,0
physics,motion,0,0
physics,gravity,0,0
philosophy,think,0,0
philosophy,wisdom,0,1
philosophy,question,0,0
creativity,innovation,1,1
creativity,art,1,0
creativity,imagination,1,1
literature,story,0,0
literature,poetry,0,0
literature,prose,0,0
blackboard,classroom,-1,0
blackboard,teach,-1,0
blackboard,learn,-1,0
future,hope,0,1
future,innovation,0,0
future,uncertainty,0,-1
history,past,0,-1
history,event,0,0
history,culture,0,0
model,design,0,0
model,prediction,0,0
model,theory,0,0
art,expression,1,0
art,beauty,1,1
art,creativity,1,1
music,harmony,1,0
music,rhythm,1,0
music,emotion,1,1
number,mathematic,0,0
number,pattern,0,0
number,logic,0,0
society,community,0,1
society,culture,0,0
society,progress,0,0
mathematic,number,0,0
mathematic,formula,0,-1
mathematic,theory,0,0
homework,study,-1,0
homework,effort,-1,0
homework,learn,-1,0
success,achievement,1,1
success,goal,1,0
success,happiness,1,1
problem - solve,logic,0,0
problem - solve,strategy,0,0
problem - solve,solution,0,1
science,discovery,1,1
science,experiment,1,0
science,knowledge,1,1
proof,evidence,0,0
proof,logic,0,0
proof,theorem,0,-1
biology,life,0,1
biology,cell,0,0
biology,ecosystem,0,0
professor,teacher,0,0
professor,expert,0,0
professor,researcher,0,0
informatic,datum,0,0
informatic,technology,0,0
informatic,information,0,0
career,job,0,0
career,growth,0,1
career,ambition,0,0
class,student,0,0
class,learn,0,0
class,teacher,0,0
