cue_word,association_word,cue_valence,associated_valence
classroom,learn,0,0
classroom,teacher,0,0
classroom,student,0,0
computation,math,0,0
computation,calculate,0,-1
computation,algorithm,0,0
stem,science,0,0
stem,technology,0,1
stem,engineering,0,0
ai,machine,0,0
ai,learn,0,0
ai,future,0,0
exam,test,-1,-1
exam,stress,-1,-1
exam,grade,-1,0
algorithm,code,0,0
algorithm,logic,0,0
algorithm,solution,0,1
chatgpt,ai,0,0
chatgpt,conversation,0,0
chatgpt,helpful,0,1
music,sound,1,0
music,emotion,1,0
music,rhythm,1,0
failure,mistake,-1,-1
failure,learn,-1,0
failure,disappointment,-1,-1
datum,information,0,0
datum,analysis,0,0
datum,statistic,0,-1
professor,teacher,0,0
professor,knowledge,0,1
professor,lecture,0,0
theorem,proof,0,0
theorem,math,0,0
theorem,logic,0,0
experiment,science,0,0
experiment,discovery,0,1
experiment,hypothesis,0,0
literature,book,0,0
literature,read,0,0
literature,story,0,1
teacher,education,0,0
teacher,knowledge,0,1
teacher,classroom,0,0
career,job,0,0
career,success,0,1
career,growth,0,0
future,time,0,-1
future,hope,0,0
future,uncertainty,0,-1
variable,change,-1,0
variable,math,-1,0
variable,unknown,-1,-1
creativity,art,1,0
creativity,innovation,1,1
creativity,imagination,1,1
work,job,0,0
work,effort,0,0
work,productivity,0,0
logic,reasoning,0,0
logic,math,0,0
logic,problem,0,-1
society,people,0,0
society,culture,0,0
society,community,0,0
grade,score,0,-1
grade,performance,0,0
grade,exam,0,-1
blackboard,classroom,0,0
blackboard,write,0,0
blackboard,teach,0,0
lecture,learn,0,0
lecture,teacher,0,0
lecture,note,0,-1
model,datum,0,0
model,simulation,0,0
anxiety,stress,-1,-1
anxiety,fear,-1,-1
philosophy,think,0,0
philosophy,wisdom,0,1
proof,evidence,0,0
proof,demonstration,0,0
job,work,0,0
job,career,0,0
knowledge,learn,1,0
knowledge,understand,1,1
scientist,research,0,0
scientist,discovery,0,1
homework,study,-1,0
homework,task,-1,-1
class,lesson,0,0
class,education,0,0
student,learn,0,0
student,school,0,0
history,past,0,-1
history,event,0,0
problem - solve,solution,0,1
problem - solve,logic,0,0
biology,life,0,1
biology,cell,0,0
teamwork,collaboration,0,0
teamwork,cooperation,0,0
physics,energy,0,0
physics,matter,0,0
science,research,0,0
science,experiment,0,0
chemistry,reaction,0,0
chemistry,element,0,0
number,math,-1,0
number,count,-1,-1
informatic,datum,0,0
informatic,computer,0,0
llm,language,0,0
llm,model,0,0
study,learn,0,0
study,research,0,0
mathematic,number,0,-1
mathematic,logic,0,0
success,achievement,1,1
success,victory,1,1
art,creativity,0,1
art,expression,0,0
equation,math,0,0
equation,solution,0,1
