cue_word,association_word,cue_valence,associated_valence
chatgpt,ai,1,1
chatgpt,chatbot,1,1
chatgpt,helpful,1,1
variable,code,1,1
variable,x,1,-1
variable,change,1,0
work,job,-1,-1
work,stress,-1,-1
work,money,-1,1
anxiety,stress,-1,-1
anxiety,worry,-1,-1
anxiety,panic,-1,-1
career,job,-1,-1
career,success,-1,1
career,ladder,-1,0
history,past,0,0
history,book,0,0
history,bore,0,-1
stem,science,1,1
stem,tech,1,1
stem,engineering,1,1
physics,motion,1,1
physics,force,1,1
physics,cool,1,1
teacher,explain,0,1
teacher,strict,0,-1
teacher,help,0,1
philosophy,think,-1,0
philosophy,deep,-1,0
philosophy,useless,-1,-1
number,math,-1,-1
number,count,-1,-1
number,hate,-1,-1
model,math,0,-1
model,predict,0,1
science,experiment,1,1
science,discover,1,1
science,lab,1,0
chemistry,lab,-1,-1
chemistry,smell,-1,-1
chemistry,hate,-1,-1
scientist,discover,1,1
scientist,lab,1,0
scientist,smart,1,1
teamwork,group,-1,-1
teamwork,argue,-1,-1
teamwork,share,-1,0
datum,analyze,1,1
datum,code,1,1
datum,big,1,0
future,hope,0,1
future,uncertain,0,-1
future,well,0,1
equation,solve,-1,-1
equation,math,-1,-1
equation,physics,-1,1
music,relax,1,1
music,fun,1,1
music,beat,1,1
homework,bore,-1,-1
homework,time,-1,-1
homework,study,-1,-1
biology,life,0,1
biology,cell,0,-1
biology,disgust,0,-1
professor,smart,1,1
professor,teach,1,1
professor,hard,1,-1
algorithm,code,1,1
algorithm,efficient,1,1
algorithm,sort,1,1
proof,theorem,-1,-1
proof,long,-1,-1
proof,logic,-1,0
art,cinema,1,1
art,beauty,1,1
art,creativity,1,1
knowledge,useful,1,1
knowledge,power,1,1
knowledge,book,1,0
class,rich,0,1
class,poor,0,-1
class,status,0,0
society,people,-1,0
society,rule,-1,-1
society,unfair,-1,-1
grade,pass,0,1
grade,fail,0,-1
grade,score,0,0
success,money,1,1
success,happy,1,1
success,achievement,1,1
lecture,bore,-1,-1
lecture,teacher,-1,-1
lecture,listen,-1,-1
experiment,physics,1,1
experiment,science,1,1
experiment,fun,1,1
literature,story,-1,0
literature,book,-1,0
literature,bore,-1,-1
classroom,school,-1,-1
classroom,desk,-1,-1
classroom,teacher,-1,-1
mathematic,hard,-1,-1
mathematic,number,-1,-1
mathematic,hate,-1,-1
ai,cool,1,1
ai,future,1,1
ai,smart,1,1
logic,puzzle,1,0
logic,useful,1,1
logic,reasoning,1,1
blackboard,chalk,-1,-1
blackboard,school,-1,-1
blackboard,write,-1,-1
llm,helpful,1,1
llm,chatgpt,1,1
llm,ai,1,1
computation,computer,1,1
computation,programming,1,1
computation,fast,1,1
study,learn,0,1
study,homework,0,-1
study,effort,0,-1
theorem,math,-1,-1
theorem,proof,-1,-1
theorem,difficult,-1,-1
job,money,0,1
job,work,0,0
job,stress,0,-1
exam,test,-1,-1
exam,stress,-1,-1
exam,fail,-1,-1
problem - solve,skill,1,1
problem - solve,puzzle,1,1
problem - solve,useful,1,1
failure,sad,-1,-1
failure,lose,-1,-1
failure,lesson,-1,0
creativity,idea,1,1
creativity,fun,1,1
creativity,art,1,1
student,young,0,1
student,learn,0,0
student,lazy,0,-1
informatic,computer,1,1
informatic,programming,1,1
informatic,cool,1,1
