cue_word,association_word,cue_valence,associated_valence
blackboard,chalk,0,0
blackboard,white,0,0
blackboard,teach,0,1
logic,reasoning,1,1
logic,structure,1,0
logic,rational,1,1
creativity,innovation,1,1
creativity,imagination,1,1
creativity,originality,1,1
success,achievement,1,1
success,goal,1,0
success,win,1,0
problem - solve,analysis,1,1
problem - solve,challenge,1,0
problem - solve,solution,1,1
datum,information,0,0
datum,statistic,0,0
datum,fact,0,0
informatic,compute,1,1
informatic,technology,1,0
number,mathematic,1,1
number,calculation,1,0
number,digit,1,0
society,community,0,0
society,culture,0,0
society,interaction,0,0
classroom,education,0,1
classroom,learn,0,1
classroom,student,0,0
teacher,mentor,1,1
teacher,guide,1,1
teacher,instructor,1,0
chatgpt,assistant,0,1
chatgpt,ai,0,0
chatgpt,conversational,0,0
llm,language,1,1
llm,model,1,1
llm,deep learning,1,0
future,progress,0,1
future,innovation,0,1
future,uncertainty,0,-1
chemistry,element,0,0
chemistry,reaction,0,0
chemistry,science,0,0
job,career,0,1
job,work,0,0
job,opportunity,0,0
study,learn,1,1
study,knowledge,1,1
study,research,1,1
proof,verification,1,1
proof,evidence,1,1
proof,certainty,1,1
literature,book,0,0
literature,write,0,0
literature,fiction,0,0
career,profession,1,1
career,development,1,0
career,success,1,1
theorem,mathematical,0,0
theorem,deduction,0,0
theorem,principle,0,0
anxiety,stress,-1,-1
anxiety,worry,-1,-1
anxiety,fear,-1,-1
equation,formula,0,0
equation,balance,0,0
equation,calculation,0,0
class,group,0,0
class,lesson,0,0
class,order,0,0
science,experiment,1,1
science,knowledge,1,1
science,discovery,1,1
scientist,research,0,0
scientist,lab,0,0
scientist,innovate,0,0
experiment,trial,0,0
experiment,test,0,0
experiment,hypothesis,0,0
model,simulate,0,0
model,pattern,0,0
model,formula,0,0
philosophy,ethic,0,0
philosophy,logic,0,0
philosophy,debate,0,0
algorithm,code,0,0
algorithm,logic,0,0
algorithm,solve,0,0
history,past,0,0
history,chronicle,0,0
history,artifact,0,0
mathematic,calculus,0,0
mathematic,equation,0,0
mathematic,geometry,0,0
lecture,talk,0,0
lecture,inform,0,0
lecture,teach,0,0
physics,force,0,0
physics,energy,0,0
physics,motion,0,0
failure,mistake,-1,-1
failure,setback,-1,-1
failure,learn,-1,0
homework,assignment,0,0
homework,study,0,0
homework,task,0,0
exam,test,0,0
exam,challenge,0,0
exam,score,0,0
student,learner,0,0
student,curious,0,0
student,scholar,0,0
teamwork,collaborate,0,0
teamwork,cooperate,0,0
teamwork,group,0,0
professor,mentor,0,0
professor,lecturer,0,0
professor,expert,0,0
work,job,0,0
work,duty,0,0
work,effort,0,0
computation,calculate,0,0
computation,process,0,0
computation,binary,0,0
biology,organism,0,0
biology,cell,0,0
biology,life,0,0
stem,science,0,0
stem,engineering,0,0
stem,mathematic,0,0
variable,constant,0,0
variable,parameter,0,0
variable,value,0,0
knowledge,learn,1,1
knowledge,information,1,1
knowledge,wisdom,1,1
ai,machine,0,0
ai,learn,0,0
ai,intelligent,0,0
grade,score,0,0
grade,rank,0,0
grade,mark,0,0
art,creativity,0,0
art,expression,0,0
art,paint,0,0
music,melody,0,0
music,rhythm,0,0
music,harmony,0,0
