cue_word,association_word,cue_valence,associated_valence
future,progress,0,0
future,innovation,0,0
future,hope,0,0
study,knowledge,0,0
study,effort,0,0
study,growth,0,0
ai,intelligence,0,0
ai,technology,0,0
ai,automation,0,0
model,structure,0,0
model,representation,0,0
model,similarity,0,-1
teamwork,collaboration,0,0
teamwork,support,0,0
teamwork,share,0,0
teacher,guidance,0,0
teacher,wisdom,0,0
teacher,mentorship,0,0
exam,pressure,-1,-1
exam,assessment,-1,0
exam,challenge,-1,0
society,community,0,0
society,structure,0,0
society,evolution,0,0
homework,practice,0,0
homework,learn,0,0
homework,responsibility,0,0
llm,language,0,0
llm,understand,0,0
llm,generation,0,0
problem - solve,logic,0,0
problem - solve,critical,0,0
problem - solve,strategy,0,0
history,past,0,-1
history,event,0,0
history,pattern,0,0
scientist,discovery,0,0
scientist,curiosity,0,0
scientist,research,0,0
creativity,imagination,0,0
creativity,innovation,0,0
creativity,original,0,0
biology,life,0,0
biology,cell,0,0
biology,evolution,0,0
algorithm,process,0,0
algorithm,step,0,0
algorithm,logic,0,0
philosophy,think,0,0
philosophy,question,0,0
philosophy,reason,0,0
classroom,learn,0,0
classroom,environment,0,0
classroom,interaction,0,0
lecture,presentation,0,0
lecture,information,0,0
lecture,delivery,0,0
art,expression,0,0
art,beauty,0,0
art,emotion,0,0
variable,change,0,0
variable,input,0,0
variable,factor,0,0
theorem,proof,0,0
theorem,truth,0,0
theorem,logic,0,0
datum,information,0,0
datum,analysis,0,0
datum,fact,0,0
professor,expertise,0,0
professor,knowledge,0,0
professor,influence,0,0
experiment,test,0,0
experiment,result,0,0
experiment,observation,0,0
anxiety,stress,-1,0
anxiety,fear,-1,-1
anxiety,tension,-1,0
work,effort,0,0
work,task,0,-1
work,productivity,0,0
science,discovery,0,0
science,experiment,0,0
science,truth,0,0
physics,law,0,0
physics,universe,0,0
physics,equation,0,0
proof,validity,0,0
proof,logic,0,0
proof,certainty,0,0
computation,algorithm,0,0
computation,datum,0,0
computation,processing,0,0
career,growth,0,0
career,path,0,0
career,opportunity,0,0
literature,story,0,0
literature,emotion,0,0
literature,narrative,0,0
chatgpt,response,0,0
chatgpt,tool,0,0
chatgpt,intelligence,0,0
class,lesson,0,0
class,discussion,0,0
class,learn,0,0
student,study,0,0
student,progress,0,0
student,curiosity,0,0
failure,loss,-1,-1
failure,setback,-1,-1
failure,lesson,-1,0
chemistry,molecule,0,0
chemistry,reaction,0,0
chemistry,element,0,0
knowledge,wisdom,0,0
knowledge,understand,0,0
knowledge,growth,0,0
blackboard,write,0,0
blackboard,teach,0,0
blackboard,equation,0,0
job,income,0,0
job,responsibility,0,0
job,stability,0,0
equation,math,0,0
equation,solution,0,0
equation,balance,0,0
informatic,system,0,0
informatic,datum,0,0
informatic,compute,0,0
mathematic,number,0,0
mathematic,logic,0,0
mathematic,pattern,0,0
stem,science,0,0
stem,engineering,0,0
stem,innovation,0,0
success,achievement,0,0
success,goal,0,0
success,reward,0,0
music,harmony,0,0
music,emotion,0,0
music,rhythm,0,0
number,quantify,0,0
number,pattern,0,0
number,calculation,0,0
grade,score,-1,-1
grade,result,-1,0
grade,evaluation,-1,0
logic,reason,0,0
logic,structure,0,0
logic,consistency,0,0
