cue_word,association_word,cue_valence,associated_valence
mathematic,algebra,0,0
mathematic,geometry,0,0
mathematic,calculus,0,0
study,learn,1,1
study,read,1,1
study,research,1,1
number,digit,0,0
number,quantity,0,0
number,statistic,0,0
chatgpt,ai,1,1
chatgpt,language,1,1
chatgpt,assistant,1,1
physics,energy,1,1
physics,motion,1,1
physics,force,1,1
success,achievement,1,1
success,goal,1,1
success,win,1,1
history,past,-1,-1
history,chronicle,-1,-1
history,record,-1,-1
proof,logic,0,0
proof,validate,0,0
proof,certify,0,0
knowledge,wisdom,1,1
knowledge,insight,1,1
knowledge,information,1,1
literature,novel,-1,-1
literature,poetry,-1,-1
literature,essay,-1,-1
creativity,imagination,1,1
creativity,innovation,1,1
creativity,expression,1,1
stem,science,1,1
stem,technology,1,1
stem,engineering,1,1
future,progress,1,1
future,innovation,1,1
future,horizon,1,1
blackboard,chalk,-1,-1
blackboard,lecture,-1,-1
blackboard,classroom,-1,-1
logic,reason,0,0
logic,argument,0,0
logic,deduction,0,0
datum,information,0,0
datum,analytic,0,0
datum,statistic,0,0
theorem,proof,0,0
theorem,math,0,0
theorem,result,0,0
music,melody,0,0
music,rhythm,0,0
music,harmony,0,0
problem - solve,challenge,1,1
problem - solve,logic,1,1
problem - solve,innovation,1,1
ai,machine,1,1
ai,learn,1,1
ai,algorithm,1,1
teamwork,collaboration,1,1
teamwork,cooperation,1,1
teamwork,partnership,1,1
algorithm,code,1,1
algorithm,logic,1,1
algorithm,process,1,1
professor,teacher,0,0
professor,mentor,0,0
professor,scholar,0,0
informatic,compute,1,1
informatic,datum,1,1
informatic,software,1,1
art,paint,1,1
art,sculpture,1,1
art,creativity,1,1
work,productivity,-1,0
work,commitment,-1,0
work,stress,-1,-1
job,career,-1,0
job,income,-1,-1
job,routine,-1,-1
homework,study,-1,-1
homework,deadline,-1,-1
homework,effort,-1,-1
career,growth,0,0
career,ambition,0,-1
career,stability,0,0
equation,formula,-1,-1
equation,solution,-1,0
equation,balance,-1,-1
anxiety,stress,-1,-1
anxiety,worry,-1,-1
anxiety,uncertainty,-1,-1
student,learn,0,0
student,curiosity,0,0
student,discipline,0,-1
science,research,1,0
science,innovation,1,1
science,experiment,1,0
failure,loss,-1,-1
failure,mistake,-1,-1
failure,learn,-1,0
class,group,-1,-1
class,schedule,-1,-1
class,education,-1,0
exam,pressure,-1,-1
exam,test,-1,-1
exam,performance,-1,-1
computation,calculation,-1,-1
computation,algorithm,-1,-1
computation,datum,-1,-1
biology,life,0,1
biology,evolution,0,0
biology,cell,0,-1
scientist,researcher,0,0
scientist,innovator,0,1
scientist,explorer,0,0
lecture,talk,-1,-1
lecture,presentation,-1,-1
lecture,knowledge,-1,0
teacher,mentor,0,0
teacher,instructor,0,-1
teacher,guide,0,0
classroom,learn,-1,0
classroom,environment,-1,-1
classroom,discussion,-1,0
variable,constant,-1,-1
variable,parameter,-1,-1
variable,value,-1,-1
model,framework,0,0
model,representation,0,-1
model,theory,0,0
society,community,-1,0
society,culture,-1,0
society,structure,-1,-1
chemistry,reaction,0,-1
chemistry,molecule,0,-1
chemistry,experiment,0,0
grade,score,-1,-1
grade,evaluation,-1,-1
grade,level,-1,-1
llm,ai,-1,0
llm,language,-1,0
llm,model,-1,-1
philosophy,think,0,0
philosophy,logic,0,0
philosophy,reason,0,0
experiment,trial,0,-1
experiment,research,0,0
experiment,datum,0,-1
