cue_word,association_word,cue_valence,associated_valence
career,growth,0,0
career,stability,0,0
career,progress,0,0
art,expression,0,0
art,creativity,0,0
art,beauty,0,0
study,focus,0,0
study,understand,0,0
study,learn,0,0
job,income,0,0
job,routine,0,-1
job,workplace,0,0
philosophy,question,0,0
philosophy,mean,0,0
philosophy,truth,0,0
future,hope,0,0
future,growth,0,0
future,possibility,0,0
physics,equation,0,0
physics,universe,0,0
physics,law,0,0
grade,effort,-1,0
grade,assessment,-1,-1
grade,performance,-1,0
algorithm,logic,0,0
algorithm,pattern,0,0
algorithm,efficiency,0,0
lecture,information,0,0
lecture,structure,0,0
lecture,teacher,0,0
model,representation,0,0
model,simulation,0,0
model,prediction,0,0
class,routine,0,-1
class,teacher,0,0
class,discussion,0,0
llm,knowledge,0,0
llm,speed,0,0
llm,help,0,0
chatgpt,answer,0,0
chatgpt,information,0,0
chatgpt,speed,0,0
blackboard,write,0,0
blackboard,instruction,0,0
blackboard,clarity,0,0
work,income,0,0
work,routine,0,-1
work,effort,0,0
anxiety,fear,-1,-1
anxiety,stress,-1,-1
anxiety,uncertainty,-1,-1
classroom,teach,0,0
classroom,learn,0,0
classroom,student,0,0
failure,lesson,-1,0
failure,growth,-1,0
failure,setback,-1,-1
equation,solution,0,0
equation,balance,0,0
equation,logic,0,0
science,experiment,0,0
science,discovery,0,0
science,truth,0,0
biology,life,0,0
biology,process,0,0
biology,growth,0,0
experiment,datum,0,0
experiment,testing,0,0
experiment,result,0,0
society,change,0,0
society,community,0,0
society,value,0,0
knowledge,learn,0,0
knowledge,wisdom,0,0
knowledge,understand,0,0
datum,truth,0,0
datum,pattern,0,0
datum,influence,0,-1
literature,story,0,0
literature,word,0,0
literature,imagination,0,0
theorem,proof,0,0
theorem,logic,0,0
theorem,certainty,0,0
chemistry,molecule,0,0
chemistry,reaction,0,0
chemistry,experiment,0,0
music,harmony,0,0
music,emotion,0,0
music,rhythm,0,0
student,learn,0,0
student,book,0,0
student,curious,0,0
scientist,discovery,0,0
scientist,research,0,0
scientist,question,0,0
ai,automation,0,0
ai,intelligence,0,0
ai,efficiency,0,0
homework,practice,-1,0
homework,focus,-1,0
homework,work,-1,-1
problem - solve,logic,0,0
problem - solve,clarity,0,0
problem - solve,solution,0,0
variable,change,0,0
variable,input,0,0
variable,output,0,0
computation,speed,0,0
computation,accuracy,0,0
computation,algorithm,0,0
history,event,0,0
history,learn,0,0
history,context,0,0
logic,reason,0,0
logic,consistency,0,0
logic,order,0,0
success,effort,0,0
success,result,0,0
success,achievement,0,0
creativity,idea,0,0
creativity,imaginative,0,0
creativity,invention,0,0
mathematic,pattern,0,0
mathematic,number,0,0
mathematic,precision,0,0
informatic,system,0,0
informatic,datum,0,0
informatic,technology,0,0
stem,science,0,0
stem,engineering,0,0
stem,innovation,0,0
professor,knowledge,0,0
professor,mentor,0,0
professor,guidance,0,0
exam,pressure,-1,-1
exam,testing,-1,-1
exam,review,-1,0
teacher,support,0,0
teacher,instruction,0,0
teacher,care,0,0
teamwork,collaboration,0,0
teamwork,trust,0,0
teamwork,share goal,0,0
proof,validity,0,0
proof,clarity,0,0
proof,evidence,0,0
number,precision,0,0
number,pattern,0,0
number,quantity,0,0
