cue_word,association_word,cue_valence,associated_valence
chatgpt,helpful,1,1
chatgpt,ai,1,1
chatgpt,write,1,0
job,career,0,1
job,money,0,0
job,stress,0,-1
success,achievement,1,1
success,happiness,1,1
success,effort,1,0
stem,innovation,1,1
stem,math,1,1
stem,future,1,1
society,progress,-1,0
society,inequality,-1,-1
society,community,-1,0
student,learn,0,1
student,exam,0,-1
student,friend,0,1
ai,future,1,1
ai,smart,1,1
ai,automation,1,0
informatic,programming,1,1
informatic,algorithm,1,1
informatic,computer,1,1
experiment,discovery,1,1
experiment,lab,1,0
experiment,hypothesis,1,0
llm,language,1,0
llm,useful,1,1
llm,chatgpt,1,1
mathematic,proof,1,1
mathematic,logic,1,1
mathematic,beautiful,1,1
datum,analysis,0,1
datum,statistic,0,0
datum,insight,0,1
philosophy,think,-1,0
philosophy,abstract,-1,-1
philosophy,bore,-1,-1
literature,book,-1,-1
literature,story,-1,-1
literature,tedious,-1,-1
music,relax,1,1
music,fun,1,1
music,beat,1,0
problem - solve,puzzle,1,1
problem - solve,satisfy,1,1
problem - solve,skill,1,1
blackboard,lecture,0,0
blackboard,equation,0,1
blackboard,chalk,0,-1
proof,theorem,1,1
proof,rigorous,1,1
proof,elegant,1,1
variable,equation,0,1
variable,unknown,0,-1
variable,x,0,0
logic,reasoning,1,1
logic,puzzle,1,1
logic,truth,1,1
theorem,proof,1,1
theorem,fundamental,1,1
theorem,pythagoras,1,1
professor,mentor,0,1
professor,strict,0,-1
professor,knowledgeable,0,1
science,fact,1,1
science,experiment,1,1
science,progress,1,1
class,learn,-1,1
class,attendance,-1,-1
class,bore,-1,-1
grade,gpa,0,0
grade,effort,0,0
grade,a,0,1
homework,duty,-1,0
homework,tiring,-1,-1
homework,essential,-1,1
failure,defeat,-1,-1
failure,lesson,-1,0
anxiety,stress,-1,-1
anxiety,worry,-1,-1
physics,force,0,-1
physics,challenge,0,-1
study,learn,0,1
study,effort,0,0
art,draw,-1,-1
art,free,-1,0
future,hope,0,1
future,uncertain,0,-1
exam,test,-1,-1
exam,pressure,-1,-1
teacher,guide,0,1
teacher,strict,0,-1
model,example,0,0
model,ideal,0,1
lecture,bore,-1,-1
lecture,informative,-1,0
knowledge,power,1,0
knowledge,fact,1,0
equation,solve,-1,0
equation,math,-1,0
history,story,1,1
history,date,1,-1
chemistry,bore,-1,-1
chemistry,lab,-1,-1
computation,code,1,1
computation,logic,1,1
teamwork,group,0,-1
teamwork,help,0,1
biology,life,-1,1
biology,dissect,-1,-1
work,job,0,-1
work,productive,0,1
classroom,desk,-1,-1
classroom,learn,-1,0
creativity,idea,-1,0
creativity,art,-1,-1
algorithm,step,1,0
algorithm,efficient,1,1
number,calculate,0,0
number,datum,0,1
career,success,1,1
career,ambition,1,0
scientist,discover,1,1
scientist,lab,1,-1
